文件名,1小时热度,2小时热度,3小时热度,4小时热度,6小时热度,9小时热度,总热度,总影响范围,紧急程度4小时,敏感程度,话题倾向,严重系数1小时,严重系数2小时,严重系数3小时,严重程度3小时
22岁冠心病女生不想做支架狂炫中药,5,5,5,5,7310,7310,18674,中,不紧急,2,-1,0.75,0.75,0.75,重度偏离
35岁小伙筋膜枪按摩颈部诱发脑梗死,3224,3226,3226,3227,3227,3254,8543,小,不紧急,2,-1,0.75,0.75,0.75,重度偏离
44岁柳岩自曝患子宫肌瘤,29,129,130,130,130,130,203,小,不紧急,0,-1,0.25,0.25,0.25,轻度偏离
4名直接参与俄恐袭的嫌犯被批捕,3689,4315,4315,4315,4315,4315,4315,小,不紧急,3,-1,2.556962025,2.593220339,2.593220339,特重度偏离
749局,9055,9055,9055,9055,9055,9055,9055,小,不紧急,0,0,0.086438924,0.086438924,0.086438924,轻度偏离
95后女生每月副业收入过万,31,31,31,31,31,31,31,小,不紧急,0,0,0.5,0.5,0.5,中度偏离
A股,65,65,65,65,65,65,65,小,不紧急,0,0,0,0,0,轻度偏离
LPL,1892,1892,1892,1892,1892,1892,1892,小,不紧急,0,0,0.25,0.25,0.25,轻度偏离
七夕,3152,3152,3152,3152,3152,3152,3152,小,不紧急,0,0,0.03,0.03,0.03,轻度偏离
与凤行滤镜改了,715,715,715,715,715,715,715,小,不紧急,0,0,0,0,0,轻度偏离
世界孤独症日,34,34,34,34,34,34,34,小,不紧急,0,0,0.25,0.25,0.25,轻度偏离
中国新兴文旅迎春勃发,484,484,484,484,484,1789,3108,小,不紧急,0,1,0,0,0,轻度偏离
习近平会见美国工商界和战略学术界代表,154,154,154,1990,1990,1990,7357,小,紧急,3,0,0,0,0,轻度偏离
事业编,32536,32536,32536,32536,32536,32536,32536,中,不紧急,0,0,0,0,0,轻度偏离
仝卓,16830,16830,16830,16830,16830,16830,16830,中,不紧急,1,0,0,0,0,轻度偏离
伊朗,615,615,615,615,615,615,615,小,不紧急,3,0,1.5,1.5,1.5,特重度偏离
你愿意不交社保换更多工资吗,101,101,101,101,101,101,101,小,不紧急,1,0,0,0,0,轻度偏离
俄罗斯恐怖袭击,21,21,21,21,21,21,21,小,不紧急,3,-1,1,1,1,特重度偏离
利率,658,658,658,658,658,658,658,小,不紧急,0,0,0,0,0,轻度偏离
北京的雪,543,556,654,654,654,2065,8663,小,不紧急,0,0,0.798611111,0,0,轻度偏离
十个勤天,2264,2264,2264,2264,2264,2264,2264,小,不紧急,0,0,0.798611111,0,0,轻度偏离
十个勤天郁金香线上开售,79937,79937,79937,213317,407738,407739,1075216,超大,非常紧急,0,0,0,0,0,轻度偏离
华为P70,5354,5354,5354,5354,5354,5354,5354,小,不紧急,0,0,0,0,0,轻度偏离
南北站姐,30982,30982,30982,30982,30982,30982,30982,中,不紧急,0,0,0,0,0,轻度偏离
双休,12,24,25,29,110,245,753,小,不紧急,0,0,0,0,0,轻度偏离
向佐撩裙子差点呼宁静脸上,289,322,322,322,322,696,696,小,不紧急,0,0,0.131465517,0.123287671,0.123287671,轻度偏离
听泉赏宝,1,1,6,6,7,11015,56508,中,不紧急,0,0,0,0,0.25,轻度偏离
周深新歌,153112,153112,153112,153112,153112,153112,153112,大,不紧急,0,0,0.375,0.375,0.375,中度偏离
哥斯拉,162,162,162,162,162,162,162,小,不紧急,0,0,0.5,0.5,0.5,中度偏离
