id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5088800000000000.0,OBg9Q4lv7,5075944887,玄析_,什么热搜…造血功能不好做什么支架，当然是用中医治疗了,22岁冠心病女生不想做支架狂炫中药,中立
5088800000000000.0,OBg8UqVad,6393590115,恰饭点虾滑a,别拿身体开玩笑中药只能调理喝多了对胃也不好,22岁冠心病女生不想做支架狂炫中药,反对
5088800000000000.0,OBg7Lsuyw,5587382201,临沂日报,10月12日，辽宁沈阳。22岁女生确诊缺血性心肌病，造血功能不是很好，还有点贫血。就医时医生推荐做支架手术，还被告知不控制不做支架手术五年生存率为50%。但因父母不想她年纪轻轻就做支架手术，带她看中医后，开启了狂炫中药模式。当事人：想先尝试两个月看看效果。据了解，缺血性心肌病属于冠心病的特殊类型或晚期阶段，会引起心绞痛、心力衰竭、心律失常等一系列表现，如有不适，请前往医院就诊。@都市报道,"22岁冠心病女生不想做支架狂炫中药,晚安",中立
5090200000000000.0,OBQsozuQa,1990821721,罗百竹,22岁冠心病女生不想做支架狂炫中药！父母不想她年纪轻轻就做支架手术，带她看中医！西医称不控制的话活不过5年！童爸汇总的关于中风/脑卒中和脑梗/心梗的科普文章。最后修订：2024.10.16。关键词：中风、卒中、脑梗、心梗、血栓、血脂、冲血管、冠心病、硝酸甘油、阿司匹林。文章：O22岁冠心病女生不想做支架狂炫中药！父母不想她年纪轻轻就做支架手术，带她看中医！西医称不控制的话活不过5年！,22岁冠心病女生不想做支架狂炫中药,中立
5089440000000000.0,OBwQP6rGz,1799873044,三舒客,这么年轻，确实应该选择中医，把自身之“神气”调动起来，从而为血管坍缩之“形体”撑起一片天，而不是靠外部支架。不然的话，支架会越装越多，直到无法负担。这种情况，直接从不可见的“神、气”着手，显然比从“形”着手更能治本。“上守神，下守形”，内经五千年前就把这个生命的根本问题判断得清清楚楚明明白白，没想到现代人居然糊涂了。当然，找到真正的好中医也是很关键的，也不能乱喝药。,22岁冠心病女生不想做支架狂炫中药,支持
5089380000000000.0,OBvcZkKyX,6354059189,医路甘露子,本人真实案例：今年上半年咳嗽了三个月，去医院拍片说是气管炎，开药吃了一个月也没好，后来朋友介绍去中医诊所看中医，大夫说是风寒，开了一副中药🌿吃了一周居然好了！所以现在我加入了中医推广行业，励志传承中医传统文化,22岁冠心病女生不想做支架狂炫中药,"
强烈支持"
5089310000000000.0,OBtsRw4Wy,5195647315,峨边警方,早安超话心血管疾病被视为威胁人类生命健康的头号杀手，冠心病就是其中的一种，生活中经常听到的心梗是冠心病比较严重的一种临床表现。冠心病多发于中老年群体中，但有年轻化的趋势，中青年猝死比例明显上升。门诊中甚至有20岁左右的年轻人查出冠心病，每年定期体检是及早发现的重要手段。专家提醒，如果在生活中，特别是在熬夜劳累以后，出现胸闷、胸痛、气短的症状，持续得不到缓解，需要及时到医院就诊。,22岁冠心病女生不想做支架狂炫中药,中立
5089150000000000.0,OBpaA2LVl,1503767972,汪亚民,中医超话中医对这类病有治疗方法，只是到了晚期阶段，中医药对此是否有有效方法，需要有经验的中医专家来诊疗和判断。晚期情况有些危急了，用西医手术做个支架已经很成熟，可以用西医方法！10月12日，辽宁沈阳。22岁女生确诊缺血性心肌病，造血功能不是很好，还有点贫血。就医时医生推荐做支架手术，还被告知不控制不做支架手术五年生存率为50%。但因父母不想她年纪轻轻就做支架手术，带她看中医后，开启了狂炫中药模式。当事人：想先尝试两个月看看效果。据了解，缺血性心肌病属于冠心病的特殊类型或晚期阶段，会引起心绞痛、心力衰竭、心律失常等一系列表现，如有不适，请前往医院就诊。@微博热点@微博财经,"中医,财经之星,22岁冠心病女生不想做支架狂炫中药,新浪财经,文化微议,微言微议,微博时评,财经评论",中立
5089130000000000.0,OBoJ47ZsO,1218767344,Louis9,这种攸关性命的事也当娱乐新闻做是吧,22岁冠心病女生不想做支架狂炫中药,强烈反对
5089070000000000.0,OBn956Jm6,1218917552,布庶,这事拍视频放网上，大张旗鼓，药效减半。,22岁冠心病女生不想做支架狂炫中药,反对
