id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5086630000000000.0,OAlCitdZK,7780877314,世界失败中心,这问题也太大了吧！平常一点小事放过了也就放过了但是这次真的不可以原谅了,8人被终身禁入稻城亚丁景区,中立
5086630000000000.0,OAlC7ewqp,7835417490,笋笋通信员,不听劝，硬闯入，终身禁，引以戒。,8人被终身禁入稻城亚丁景区,"
支持"
5086630000000000.0,OAlBTDSQj,2050260197,胖哥杨力,损坏了物资，该罚也得罚吧。另外这种恶劣行径，应该全国景区都禁入！,8人被终身禁入稻城亚丁景区,支持
5086630000000000.0,OAlBmfvcc,7517353329,芦芽琴声远,做得好，以儆效尤！为了自己的安全，要遵守规定，不要随意进入未开发的区域，以免造成不必要的麻烦！,"8人被终身禁入稻城亚丁景区,清风阁札记","
强烈支持"
5088230000000000.0,OB1f17WVp,5778868667,庆阳检察,近日，四川稻城亚丁景区发布通报称，8人擅闯景区未开发区域被终身禁入。相关法律规定，未经批准进入自然保护区核心区、缓冲区，将处100元以上5000元以下罚款。亚丁国家级自然保护区环境复杂、深山无通讯信号，一旦发生安全事故，救援行动很难及时有效开展，希望大家珍惜自然、珍爱生命！,安哥说法,支持
5087500000000000.0,OAIlyvSoZ,7082773862,会玩君wpgmedia,8人擅自进入未开发区域徒步穿越稻城亚丁景区：终身禁入10月6日，亚丁国家级自然保护区管理局、稻城亚丁风景名胜区管理局发布关于对未经批准私自进入保护区开展户外活动行为的通报。通报称，8名游客违反亚丁国家级自然保护区和亚丁景区的管理规定，给保护区和景区的保护、管理造成一定危害，即日起终身禁止8人再次进入亚丁国家级自然保护区和亚丁景区开展一切形式的旅游和活动。据亚丁保护区管理局环境保护科副科长梁应秀介绍，国庆假期景区安排工作人员在重要卡点和区域开展巡护工作。当工作人员发现有游客背着装备准备穿越未开放区域的时候，便进行了劝返。其中5人在工作人员劝返时离开了，随后又悄悄返回了，并且这样重复了好几次。另外3人在工作人员清山时躲在树林里，等清山工作完成后便开始穿越未开放区域。这3人还撬开了驿站的门锁、断开驿站内的监控，准备在驿站过夜。所幸工作人员在监控被拔掉之前发现了他们，立即安排人员将擅闯游客带离。,,支持
5087500000000000.0,OAIkW51yF,2618638282,湖南日报,10月6日，四川稻城亚丁景区官方公众号发布通报，有8人被终身禁入。通报称，10月2日，王某强等3人无视景区公告，擅自进入亚丁景区未开发区域开展徒步穿越活动，并趁工作人员下班损坏景区服务驿站物资；李某婷等5人擅自进入亚丁景区未开发区域，并无视工作人员多次劝阻，仍然偷摸进入未开放区域开展徒步旅游活动。即日起，禁止王某强等8人终身再次进入亚丁国家级自然保护区和亚丁景区开展一切形式的旅游和活动。@湖南日报O三湘时评丨为景区说“不”点个赞,"湖湘微评,为景区说不点个赞,乘着大巴看中国","
支持"
5086630000000000.0,OAlAOBv0R,3761691972,宁夏张聪,擅自进入亚丁景区未开发区域并毁坏景区物资，依法被禁入没毛病。,8人被终身禁入稻城亚丁景区,支持
5086630000000000.0,OAlzZ9sR9,1772243183,花王袁景辉,你觉得？我觉得其他景区也效仿的话，杀鸡儆猴的效果的确做到了。你觉得可以吗？,"8人被终身禁入稻城亚丁景区,景区能罚游客终身禁入吗",中立
5086630000000000.0,OAlzV2oIK,6108091641,綣冬,我实在是不明白，有些人啊，那么多可以去的地方不去，非得作si，没出事嫌人管得多，出事了就到处找地方赔偿，稻城亚丁本来就属于高原，很危险的。,"8人被终身禁入稻城亚丁景区,绻冬","
强烈支持"
5086630000000000.0,OAlzkdSB9,6517622741,椰不椰子油,真是活该工作人员都说了不能进还是要进,8人被终身禁入稻城亚丁景区,"
强烈支持"
5086630000000000.0,OAlzfliTU,5933338496,娱乐探神,稻城亚丁保姆级爬山攻略，一定要带着喜欢的人来这一次!,8人被终身禁入稻城亚丁景区,中立
5087300000000000.0,OAD89Aev1,6206622731,川观新闻,据《北京晚报》报道，国庆假期，云南哀牢山、四川稻城亚丁等自然保护区受到不少游客青睐，但有人擅自闯入禁区。据悉，8名擅入亚丁景区未开发区域的游客被终身禁入；哀牢山自然保护区也发出告知书，擅自闯入最高罚款5000元。探险可以，但不是哪里都可以去，尤其是不能越过法律法规的红线。敬畏自然、敬畏生命，停下擅闯的脚步，让保护区里的动植物自由生长，比违规深入其中更有意义。,"请停下擅闯禁区的脚步,今日漫话",支持
5086640000000000.0,OAlZlpUMa,5636287086,夹土豆丝szd,非常同意其他景区一起严禁进入，而且终生!,8人被终身禁入稻城亚丁景区,强烈支持
5086640000000000.0,OAlYGwxel,6168117181,独自灿烂的烟火,有用么？人家闯过一次了，爽了爆了过瘾了，还去干嘛？应该终身禁止进入不可逆的任一景区,8人被终身禁入稻城亚丁景区,"
强烈支持"
5086640000000000.0,OAlYdbUW1,2354085535,那是淇淇呀,像这种人应该是所有的景区都不让进去！,8人被终身禁入稻城亚丁景区,强烈支持
5086640000000000.0,OAlXHtbQg,5457077346,IT九熙,吹某某增，国内还有姓吹的？活久见了。刚看了一下通报，这八个人应该是两个队。第一队是三个人，擅自进入亚丁景区未开发区域，并趁工作人员下班私自损坏景区服务驿站物资。第二队是五个人，擅自进入亚丁景区未开发区域，无视工作人员多次劝阻，扔偷摸进入未开放区域开展徒步旅游活动。两队人的性质都挺恶劣的，被终身禁入稻城亚丁景区，已经算是很轻的处罚了，按网友说的就应该全国景区禁入，以免祸害其他景区。,8人被终身禁入稻城亚丁景区,支持
5086940000000000.0,OAtHq1fjE,3211625807,主持人思禹,DJ思禹的私房超话8人终身禁入！稻城亚丁景区发布通报→,,中立
5086940000000000.0,OAtzYplcd,7796849166,守护铁锅炖排骨,稻城亚丁本来就是名大于实，去过后悔的有一半以上。再说对游客他们很高兴，也不会去第二次。但是怀疑是稻城故意的炒作,8人被终身禁入稻城亚丁景区,中立
5086920000000000.0,OAth9cIJD,5747450892,魔幻成都发现,成都约拍超话四川稻城亚丁景区通报：多人擅自进入未开发区域并毁坏物资，你去过稻城亚丁吗？好玩么？,"8人被终身禁入稻城亚丁景区,哀牢山曾发生多起人员失联遇难","
中立"
5086910000000000.0,OAt1m8bMY,3318140764,安阳融媒,10月6日，管理局、管理局发布关于对未经批准私自进入保护区开展户外活动行为的通报。通报称，8名游客违反亚丁国家级自然保护区和亚丁景区的管理规定，给保护区和景区的保护、管理造成一定危害，即日起终身禁止8人再次进入亚丁国家级自然保护区和亚丁景区开展一切形式的旅游和活动。详见：,"终身禁入,亚丁国家级自然保护区,稻城亚丁风景名胜区",支持
