id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5051090000000000.0,OlqXE41yX,5527109646,不露馅儿,上半年的最后一天做了很多事儿的六月～一年没见面大学最爱的瑶姐贡献摆京的十二个蚊子包以及丢掉的耳机最近很深的一个感悟人最好还是不要allin做任何事情还是尽量要丰富吧依然要把减肥写在这里列入七月,一条plog告别六月,"
支持"
5050900000000000.0,OlmdB7PMD,5094478815,挨着一棵大树努力成长成参天大树,身心不协调是我们的常态，我们支配最多的是身体，无意识过度透支，时间久了就会两极分化甚至瓦解。原本很简单，很有序的事情，无非手法娴熟，还有就是目标地图，然后就是一个容器内的靶器官的照片。,"人最好不要all in做任何事情,文学有得聊",中立
5050660000000000.0,OlfQO1JEr,5094478815,挨着一棵大树努力成长成参天大树,其实，有很多事情是不需要用心的，不需要走心，那不过就是技术的较量。把心藏起来，雪藏。我知道你不需要，但是我得心安理得地让自己活得舒服一点。,人最好不要all in做任何事情,中立
5049520000000000.0,OkMl3kLXG,7300421603,一块奶糕o,近几年的一个感受是人最好不要allin做任何事情,,中立
5049190000000000.0,OkDMcop2Q,6969008872,Focus7Qg,近几年有一个感受是，人最好不要allin做任何事情，还是要尽量丰富，充满各种不同的脉络，有缝隙，可以呼吸。这和我过去很多年的思维是不同的，以前我相信如果你不全情投入一件事，不倾尽全力让自己没有后路可退，这事就做不成，或者说做不到某种高度。因此要扫除一切障碍，直到这条路上只有目标。但这些年过去，我越来越确信，人allin后得到的东西大概率弥补不了把自己逼到那种程度下的各种损伤，身体的虚弱，精神的崩坏，牺牲掉的时间，情谊，太多东西会因为压力而变形，让你的生活除了那件事之外都变得很糟糕。你总想着等“事成了”再去生活，可那之后你也许发现生活能力都丧失了。而且一件事的结果也充满变数，能不能成并不是竭尽全力就能确保的，很多时候对结果的评判权也不在自己手里。如果真的allin到一定程度，甚至命悬于此，坏结果就会顷刻击垮一个人。我真心是这么认为的，不论什么看起来极其诱人的结果，都不值得allin去换。我现在头上有很多白头发，就是在我在倾尽全力做某件事的几个月内迅速长出来的，那段时间我不玩乐不见朋友，一切的一切都是为了“做成事”。而现在我回头看，再来一次我一定不会再这样，我该玩就玩，该,,支持
5048880000000000.0,OkvIHsmcS,2421068003,Cynthia_world,积极正能量第一天，逼自己往前看，怀着感恩心过着分秒，我总是能遇见贵人。你见过谁开奥迪还想着大众，换句话说，遇见更好的，谁还记得你是谁。那个说我不懂人性的，逼我不得不去面对人性。落落大方，好好生活，变小的圈子，独处的时光，自律的生活，积极的工作，不去惊艳谁的人生，只温暖自己的点滴。日常超话,"愿你遇到的人都是温暖的,遇见美好,记录生活,记录美好生活,好好爱自己,一切都是最好的安排,每日一餐分享,手机随拍,微博记录美好生活,人最好不要all in做任何事情,ootd每日穿搭",中立
5048840000000000.0,OkuqCby40,5072686227,木里公安,这么多年了，反诈意识有没有提高？其实，骗子行骗比你还要努力,人最好不要all in做任何事情,中立
5048800000000000.0,OktpibA7F,6055503131,Midori烧起架,第六集，标志性的一集，做一个勇敢的大人真的好难啊，无论做什么选择走哪条路真的都需要很多很多勇气放弃吧觉得之前的努力可惜了，坚持吧觉得这样痛苦的日子到底还要坚持多久。自己都不舍得放弃但劝别人放弃，在努力了第八次之后，他终于微笑放弃了,"精神病房也会迎来清晨,人最好不要all in做任何事情",中立
5048790000000000.0,OkteZ0umO,5516870815,瓦房店检察,这么多年了，反诈意识有没有提高？其实，骗子行骗比你还要努力中国警方在线的微博视频,人最好不要all in做任何事情,中立
5048140000000000.0,OkcdDqzHL,5513901913,LearnAndRecord,"外刊阅读｜人能不能一心多用？WhyMultitaskingIsBadforYouFrom:TIME,Apr20,2017","人最好不要all in做任何事情,LearnAndRecord,芝士热亿点",中立
5048720000000000.0,Okrs87fgy,7793841628,你听过叙事吗,🍒🍒『极好736，🉑蹭，㊗️大家涨涨涨』阳光信用超话ygxy查询链接🔗带着欣赏的眼光看人，带着包容的心做事，带着知足的心生活，带着感恩的心看世界，世界一定会更美好。,"人最好不要all in做任何事情,每日‎一善,阳光信用",中立
5048380000000000.0,OkiwCqPwK,6276026605,孑然一身游,十分诧异在一个多元化的社会，一种近乎绝对的观念表述竟能冲上热搜头条，并引起如此多的共鸣。我十分反感“任何事情”这种绝对的表述。很多竞争都是零和博弈，高考考研考公晋升都是如此，名额都是有限的，在这种零和博弈下个人的最优选择就是竭尽所能，既然选择入局，在没有fold掉的情况下就得allin，除非你决定这件事不做了，而你却劝说大家不要allin，本身就是违背人性。,人最好不要all in做任何事情,强烈反对
5048110000000000.0,OkbzRoQVt,5024878791,超级牛散周哥,好哥们刚告诉我，他all-in了某光伏巨头股票，他买的时候70多，现在15块。为了减少损失，不断加仓做T，早就加到6位数。我们在我的小工作室深度探讨了半天，光伏业的股价还能不能重回巅峰。炒股的惨痛经历告诉我：永远不要all-in。但学术研究的体验又表明：all-in做自己喜欢的事，不但幸福，而且更可能获得可持续性的成果和结果。结论：要不要all-in，具体问题具体分析。,"人最好不要all in做任何事情,科学人医疗社会史,v光计划",中立
5048060000000000.0,Okadx7ETU,1163552223,郑芝麻,当妈妈本身并不辛苦。陪伴孩子是个能进入心流的事情，会提升自己的专注度和幸福感。辛苦的是什么？是。比如陪着孩子想着别的事情，想工作怎么办，一会晚饭怎么办？还有自我安住vs社会评价体系的冲突：比如妈妈要这样带孩子，社会说你这样不对，公婆老公、学校老师的否定批评…这些部分才是最磨人的。所以想成为一个好妈妈，先学会照顾自己的感受。把自己的感受放第一位，心在的时候带娃，心不在就交给别人，自己去工作，去社会上闯荡，去做别的事…那也比三心二意好得多。孩子都感受得到。,"随手拍,芝麻育儿日记,人最好不要all in做任何事情",中立
5047480000000000.0,OjV3qC0lX,7334097444,兔子的世界下起来胡萝卜雨,可以allin齐司礼的谷子,人最好不要all in做任何事情,中立
5047480000000000.0,OjV2EsagF,1784996803,lindsy_fff,一把allin了一手好牌,人最好不要all in做任何事情,中立
5047470000000000.0,OjUQswGLb,6837911255,甘肃森林消防,晚安章鱼哥，晚安派大星，晚安海绵宝宝，晚安小蜗，晚安蟹老板，晚安珊迪，晚安泡芙老师，晚安痞老板，晚安各位小朋友！,人最好不要all in做任何事情,中立
5048040000000000.0,Ok9BS2lup,3494343944,愛吃冰激淩的女孩66,并不是付出全部就会达到自己想要的结果～顺其自然就好～努力➕好运～,人最好不要all in做任何事情,"
支持"
5048030000000000.0,Ok9vjFK62,6008431156,还在奔跑的黑土,有时鸡汤所以有毒是因为层次不一样，错位了就好比看病不对症治疗，适得其反。allin和allin不一样,人最好不要all in做任何事情,中立
5048000000000000.0,Ok8IQcLFb,1419107235,樊凯,人一定要做allin的事情。都是自以为是的聪明，觉得要凡事留有余量。全力以赴你都未必能把事情做好，还「最好不要allin」，就跟「孩子不用学习，只要快乐成长」这种鬼话一个道理，瞎逼建议，误人子弟。,人最好不要all in做任何事情,"
强烈反对"
5047990000000000.0,Ok8wUCTW4,6520559400,ST_KITTEN,热搜就应该多上点这种词条,人最好不要all in做任何事情,中立
5047980000000000.0,Ok85Zr80N,2794804763,蓝梦鸿天,这个观点太绝对了任何观点都需要分场景，分角度，适配不同的人，甚至适配不同状态下的人可以全身心投入工作或者学习或者某件事情，但是不能太长久，否则思维和身体就会僵化需要外界更好的办法，更好的理念提升自我认知和健康程度好好工作，好好学习，好好生活，去爱，去受伤，去帮助，去经历，去成长短期专心做事，长期劳逸结合，不要让自己长时间压力太大，阶段性努力，持续性成长但行好事，莫问前程,人最好不要all in做任何事情,中立
5047980000000000.0,Ok85Iyh3j,3977647109,超级个体张老板,人最好不要allin做任何事情#,,中立
5047490000000000.0,OjVt4z3dh,7453616117,关我西红柿咩啊,人最好不要allin做任何事情，但可以allin买时代峰峻周边。只要你有很多高会,人最好不要all in做任何事情,"
支持"
