id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5086962207692042,OAuhCwh3c,7819998534,用户7819998534,10月7日话题冲上热搜引起网友热议据了解，卢女士今年5月末，进入贵阳市观山湖区的贵州黔...O女子孕期被公司要求调岗，月薪缩水3000，公司回应来自@凤凰新闻,"凤凰新闻,入职几月怀孕拒绝调薪调岗被辞退",中立
5086953059909937,OAu2RFA1H,3242627754,永州禁毒,《女职工劳动保护特别规定》规定，用人单位不得因女职工怀孕、生育、哺乳而降低其工资、予以辞退、与其解除劳动或者聘用合同。对女职工的劳动保护还有哪些呢？戳视频↓↓,入职几月怀孕拒绝调薪调岗被辞退,支持
5086912794860329,OAsZVkoop,6911206918,冷心木四,"其实只有热搜聚焦孕妈，吓唬女性，但是混职场的女性会想方设法搬开偏见的绊脚石,没有潜规则，只有性价比,价格合适什么都好说.",入职几月怀孕拒绝调薪调岗被辞退,中立
5086911475486839,OAsXNn1np,2794691843,微博法律,律师说法，专注热点普法！入职几月怀孕拒绝调薪调岗被辞退、网传加18万彩礼事件双方已和解@微博法律一文汇总优质法律内容解读>>@女律师小白姐：孕期女员工被辞退，其受损的法律权益主要包括劳动权益和特殊保护权益。微博正文@张荆_婚姻继承律师：被辞退说明用人单位违反了《劳动法》。微博正文@眠-LC：对劳动者而言，在其与用人单位建立劳动关系时，应当注意合同中写明的具体工作地点。微博正文@我是律师的朋友：彩礼在法律上被视为一种附条件的赠与，其法律属性主要体现在婚姻缔结的目的上。微博正文@张荆_婚姻继承律师：就彩礼以及解决彩礼纠纷问题，我们国家有比较严密的法律支持。微博正文,律师说法,支持
5086628553167793,OAlBtdi5r,2895968417,Echo_different,明明是一家人共同做的决定，不想调岗想多赚点钱养孩子，但妈妈千夫所指，爸爸完美隐身。,入职几月怀孕拒绝调薪调岗被辞退,中立
5086627927950074,OAlAsxmb0,5323963006,昔年-wower,这个问题在于，不管你之前交了多少年的生育险，只要你怀孕的时候没有工作交不了生育险，你就没办法报销，所以才会有这么多生育期工作的。也可见根本不缺新生儿，不然生育险为何不能像医保自己交也可以用呢,入职几月怀孕拒绝调薪调岗被辞退,中立
5086626908999657,OAlyOBLdL,7823043990,爱吃团团怎么了,入职几个月就怀孕，给你调去轻松岗位降薪不接受。那请问因为你增加工作量的其他打工人有什么错呢？？？？凭什么去轻松岗要拿一样的工资呢？？？？,入职几月怀孕拒绝调薪调岗被辞退,反对
5086626585775455,OAlyioesv,3063021825,精神科Dr肖,卢女士今年5月末，进入贵阳市观山湖区的贵州黔城佳膳餐饮管理有限公司工作。工作几个月，卢女士发现自己怀孕了，于是将这件事情向公司作了汇报。公司决定要辞退卢女士，为此，卢女士也找过公司讨要说法，但没有得到一个让她满意的结果。随后，记者和卢女士的家人来到了这家贵州黔城佳膳餐饮管理有限公司，见到了公司人事部的负责人熊女士。但熊女士见到记者到来，表现得十分抗拒。你认为公司这样的做法合理吗？,入职几月怀孕拒绝调薪调岗被辞退,反对
5086625971050082,OAlxj4paO,7518417831,无糖-樱桃汁,入职没多久就怀孕，老板调薪调岗也没什么吧，只要不辞退,入职几月怀孕拒绝调薪调岗被辞退,中立
5086625845741739,OAlx6o5GH,1730308742,宅客小宅,这种说难听点就是自私，就是“坏”！正常人谁会入职几个月就怀孕？然后调到轻松点的岗位拿少一点薪资还不愿意，既要又要，你觉得你老板你同事愿意吗？正常来说，来一个新公司，自己备孕也得知道至少一年后吧，上下级关系搞好点，同事之间关系搞好点，就算怀孕了，也不会有太多抱怨。你倒好，刚来没多久你就怀孕了，然后你的老板要找人来填补你的工作，你的同事要分担你的工作，然后可能还只能拿原工资。你倒好，你啥都不用做，工资照拿，这好事能轮得到你？想多了吧！别怪女性就业难，有时候就业风气就是被这种人搞坏的！,入职几月怀孕拒绝调薪调岗被辞退,强烈反对
5086625789118873,OAlx0CgeB,7076230981,Ronronner-猫崽,矛盾都转嫁给企业和员工，制定规则的美美隐身女性在职场真的太难了,入职几月怀孕拒绝调薪调岗被辞退,"
反对"
5086854178669310,OArtnAnhA,2264635847,一都阿叔,保护妇女权益的初衷肯定是没错的，但是架不住有些人专门钻空子。前人在砍树，公司就越不想招女生，后面的女生难找工作就说职场歧视了。所以我一直建议出政策，私企照顾孕产妇的可以适当减免税款减轻企业压力，如果有国家替企业兜着点，就没有这些乱七八糟的事了！,入职几月怀孕拒绝调薪调岗被辞退,中立
5086842607634507,OAraIw25d,5639895252,赫洋H,卢女士今年5月末，进入贵阳市观山湖区的贵州黔城佳膳餐饮管理有限公司工作。工作几个月，卢女士发现自己怀孕了，于是将这件事情向公司作了汇报。公司决定要辞退卢女士，为此，卢女士也找过公司讨要说法，但没有得到一个让她满意的结果。随后，记者和卢女士的家人来到了这家贵州黔城佳膳餐饮管理有限公司，见到了公司人事部的负责人熊女士。但熊女士见到记者到来，表现得十分抗拒。via.@百姓关注,入职几月怀孕拒绝调薪调岗被辞退,"
中立"
5086815088019062,OAqskxE7I,1135128013,大板牙磕掉茬儿,试用期怀孕，辞退有什么问题吗？,入职几月怀孕拒绝调薪调岗被辞退,"
支持"
5086814195156149,OAqqTlDlH,2294798900,7MingFeI,其实避免这种情况，公司有个办法，就是入职体检加每年体检，胸片和C14呼气实验都安排上，做了半年不能怀孕，不做的话不是怀了就是在备孕。之前有个公司，每半年公司掏钱给员工体检一次,入职几月怀孕拒绝调薪调岗被辞退,中立
