id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5139170989966382,Pgr10FOI6,1718135507,曲小秋,百亿补贴没赶上，终于赶上了末班车,哪吒2全球动画第1,中立
5139166183299940,PgqTgdQsQ,5698089344,流年拾忆Lucky,2025年2月28日，星期五，晴。上一年的2月的最后一天是个开心的日子！今年的2月的最后一天也是个特别的日子！今天是难得一遇的呀！希望自己好运降临！心想事成！一愿家人健康平安！二愿自己成功上岸！三愿自己有人追有人爱！另外还期待看到@电影哪吒之魔童闹海的票房冲破143亿直奔160亿！全球排名up！up！up！哪吒之魔童闹海超话,"七星连珠,七星连珠一起许愿,哪吒2全球动画第1",强烈支持
5139158521089349,PgqGU4zo9,2499802124,石家庄微博荟萃,近日，电影《哪吒之魔童闹海》总票房荣登全球动画票房榜第1名。随着口碑持续发酵，大家开始自备“显微镜”看电影，影片里不少“风景”和“元素”在河北石家庄的井陉也有同款，一起来看看~O《哪吒2》同款取景！石家庄这些地方藏不住了,"石家庄,石家庄身边事",支持
5139150413762055,PgqtPfMGj,1623340585,河北日报,近日，电影《哪吒之魔童闹海》总票房荣登全球动画票房榜第1名。随着口碑持续发酵，大家开始自备“显微镜”看电影，影片里不少“风景”和“元素”在河北石家庄的井陉也有同款，一起来看看~O《哪吒2》同款取景！石家庄这些地方藏不住了O《哪吒2》同款取景！石家庄这些地方藏不住了,,支持
5139144053625634,PgqjzfdbY,2202088231,西安鹅毛扇,2月28日，据网络平台数据，电影《哪吒之魔童闹海》总票房（含点映、预售及海外票房)破141亿，暂居全球影史票房榜第8位、全球动画票房榜第1位。@白鹿视频的微博视频,"哪吒2破141亿元,甄子丹称好莱坞朋友向他打听哪吒2,甄子丹向国际影坛朋友推荐哪吒2",支持
5138807239214529,PghyjCF7r,7784285533,-木应圆圆-,藕饼超话“从是混元珠起就注定我们生生世世都要缠绵在一起了”,"藕饼,哪吒2全球动画第1","
强烈支持"
5138764108137448,PggqKy8Va,1969078862,宜昌消防,，提气！@西藏消防@西藏拉萨消防蓝朋友提醒正要观影或以后会去电影院的你，熟悉疏散通道、安全出口、逃生路线图十分重要。ps：祝大家安全观影，开心快乐～,"哪吒喊你打开正确的观影模式,哪吒2全球动画第1",中立
5138732655575333,PgfC1nooJ,1991333801,郑州消防,是重担，专和“隐患”对着干，安全由我不由天，检查隐患最关键！@郑州消防,"消防安全,哪吒2全球动画第1",中立
5138731512890408,PgfAbc7Vu,7675073056,牧云追风2,山东青州，一位青年墙绘师为重绘肉身！少年似火，何惧风浪！好看的哪吒墙绘送给你们~，祝贺via@青州广电,"哪吒亮相山东千年古城,哪吒,哪吒2全球动画第1,饺子导演已闭关","
支持"
5138447554315822,Pg8cbi6K2,6260025957,这波细节呀,黑老大孩子和富家公子哥的考公之路,哪吒2全球动画第1,中立
