id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5066197708312202,OrM6uySnM,6242821166,二郎神侃球,发布了头条文章：《陈梦何时出战单打比赛？王曼昱在团体赛的作用，体现在双打跟单打》O陈梦何时出战单打比赛？王曼昱在团体赛的作用，体现在双打跟单打,"国乒女团进4强,孙颖莎复盘笑了",中立
5065271790534793,Oro152f7H,5992512549,W泡芙miumiuW,上一次看乒乓球比赛还是王皓和柳承敏，这么多年过去了，都是00后的天下了。最近被莎头吸引，上班看不到转播只能听场外解读，一边干活一边着急男团怎么还没有拿下。今晚一定要蹲一个女团直播，莎莎真的是很稳，小小的一只却又那么有能量。真心觉得国家把孩子们培养的都很好，除了技术能力一流，还保持着自我性格，很难的。被他们的拼，燃，释放所打动，人生关键时刻就得放手搏一把啊，前提是你修炼好了，有那个水平和底气，就什么也不怕。强大稳定的内核，是想赢和突破自我的基石。努力吧，念念不忘，必有回响。修炼好自我，高处相逢,"国乒男团女团迎半决赛,国乒女团进4强,国乒女团vs韩国",支持
5065200323527722,Orm9OeNIK,7880977291,来自南方的小金豆,奥运女团4强出炉！国乒迎战韩国，孙颖莎3-0大胜，王曼昱独得2分。2024年巴黎奥运会乒乓球女团1/4决赛已经结束了，国乒女团以3-0横扫中国台北队，强势晋级4强，陈梦/王曼昱，孙颖莎，王曼昱都是以3-0击败对手，接下来的半决赛，国乒女团将会对阵韩国队。,国乒女团vs韩国,支持
5065167626306439,Orlj4qsAL,5918987876,天津反邪教,恭喜！三战三胜！国乒女团战胜中国台北队，顺利晋级4强！,"国乒女团vs中国台北,国乒女团进4强","
强烈支持"
5065140413665298,OrkBbfnvI,3964232262,爱信阳,在巴黎奥运会乒乓球女子团体1/4决赛中，@孙颖莎、@陈梦-乒乓球、@王曼昱、王艺迪@迪214组成的中国女队成功晋级！,"国乒女团挺进四强,国乒女团进4强,信阳生活",支持
5065138644454662,OrkykiGRo,3341088170,绍兴消防119,不惧“烤”验！直击高温下的消防员！,国乒女团进4强,中立
5064885396049624,OrdXRpnMA,6393590115,恰饭点虾滑a,加油加油！！！真的太厉害啦,国乒女团进4强,"
强烈支持"
5064885262358488,OrdXE9Ty8,7827629034,张大师在线做法,太棒啦[金牌][金牌][金牌],国乒女团进4强,强烈支持
5064837782835020,OrcJ4bTw8,2243785533,南阳交通广播,北京时间8月5日，乒乓球女子团体16强赛，由孙颖莎、陈梦、王曼昱、王艺迪组成的中国女团登场，大比分3-0战胜埃及女团，顺利晋级八强。北京时间8月7日20：30将进行巴黎奥运会乒乓球女团1/4决赛，中国队对阵中国台北队。,"国乒男团女团冲击4强,十八city的海洋walk,海豚挑战水花消失术",支持
5064826042456733,Orcq8aj6J,6750126856,大象微公益,北京时间8月5日，乒乓球女子团体16强赛，由孙颖莎、陈梦、王曼昱、王艺迪组成中国女团，晋级八强。北京时间8月7日20：30将进行巴黎奥运会乒乓球女团1/4决赛，中国队对阵中国台北队。孙颖莎超话,"国乒女团冲4强,国乒男团女团冲击4强",支持
