id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5044954428868314,OiRt8Bd3k,7754557479,花海仰鞠,保护好自己福寿螺也不是什么好东西,夫妻不戴手套铲除福寿螺感染寄生虫,"
反对"
5044954331613431,OiRsZ6LJ5,7769914319,蛋挞小昂,我去保护好自己才是最重要的啊,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5044954298845869,OiRsVB7dj,5043530082,涂涂侃科技,，真的是吃一堑长一智啊。以后做事情可得小心点了，不能再这么粗心大意了。希望大家也能吸取我们的教训，保护好自己的健康。,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5044953958582103,OiRsnA0B1,5825371879,Habseligkeit-Y,大家要做好保护措施啊不要感染了,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5044953684116028,OiRrWhgLy,6242397697,我就不吃葱姜蒜怎么了,小时候，好像我们真的没有直接用手过。,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5052326903549380,OlXgeeTm4,6579033207,乌兰浩特政法,随着气温升高，福寿螺进入繁殖期。专家介绍，福寿螺体内寄生虫多达6000条，吃错这个可能“致命”！爱吃田螺的朋友注意了，别勿食福寿螺。,"误把福寿螺当田螺吃或致死,夫妻不戴手套铲除福寿螺感染寄生虫",中立
5044949955379232,OiRlVmznO,1221707263,刘继兴,在清除过程中最好戴橡胶手套，不用手直接触碰就基本不会有感染寄生虫的风险。若没戴手套，处理完福寿螺及螺卵的手一定要洗净消毒。,夫妻不戴手套铲除福寿螺感染寄生虫,"
中立"
5044872106480414,OiPkmrbQO,1878260651,News天津,近日，浙江杭州，老两口清理福寿螺卵后出现发热感染等症状。据悉，丁大妈老两口饲养动物，常拎河水给动物洗刷，也曾在河边铲除福寿螺及卵，但并未佩戴手套。此后，老两口突然发热、腹泻，就医后经治疗仍腹泻难止。专家们考虑寄生虫感染可能，但夫妻俩都否认有吃生或半生不熟食物的饮食习惯。经寄生虫抗体检查发现，医生考虑两人为广州管圆线虫感染，而这种寄生虫多藏与福寿螺内。经治疗，夫妻俩症状均好转并出院。医生表示：老两口可能曾接触福寿螺及卵或被其黏液溅到，未清洗就拿东西吃，清除福寿螺及卵时最好戴手套。,夫妻未戴手套清除福寿螺后发热感染,中立
5044841906176536,OiOxEpUNy,1700720163,钱江晚报,以下哪个才是福寿螺？以下哪个是福寿螺？,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5046146636448528,Ojmu3r3yw,2553794882,Awah中华號,随手拍微博超话福寿螺多分布在我国南方淡水水域，繁殖力极强，一年可产卵20-40次，每年的4-6月和8-10月，是福寿螺产卵和孵化的高峰期，年产卵量可达3-5万粒。据统计，一只福寿螺体内的寄生虫可多达6000条，其中最为人熟知的莫过于广州管圆线虫——其幼虫可寄生在人类的脑部中枢神经系统，继续产卵繁殖。感染者会出现头痛、发热等症状，严重时会失明、瘫痪、痴呆，甚至死亡，因此尽量不要食用福寿螺，若要食用，应彻底煮熟煮透。如何分辨福寿螺和田螺？福寿螺个头要比田螺大不少，外壳颜色比田螺浅，呈黄褐色，田螺呈青褐色；田螺尾部呈锥形，盖头是片圆形，而福寿螺尾部短，盖头偏扁，呈圆盘形；从口感上来说，田螺肉也要比福寿螺肉质更嫩。,"一只福寿螺所含寄生虫可多达6000条,夫妻不戴手套铲除福寿螺感染寄生虫",中立
5045636363454549,Oj9d2euGx,5431902472,青羊残联,今天，“夫妻不戴手套铲除福寿螺感染寄生虫”“误把福寿螺当田螺吃或致死”等多个话题登上热搜，引起广泛讨论。作为一种有害入侵物种，福寿螺在四川也很常见，为此四川还专门派出了鸭鸭来“处理”福寿螺。那么该如何区分福寿螺和田螺呢？,"区分福寿螺和田螺需看这三眼,四川这支鸭鸭先锋队带编上岗",中立
5044968664859764,OiRQ6kofi,6548120571,莉性恋,我天呐看着都头皮发麻不要小看寄生虫啊…,夫妻不戴手套铲除福寿螺感染寄生虫,"
反对"
5044968624229385,OiRQ2hKfT,6318854723,飨怖溟败,每次看到福寿螺这个词就想到小时候吃过,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5045208949721075,OiY5EEMTx,3167104922,四川日报,今天，“夫妻不戴手套铲除福寿螺感染寄生虫”“误把福寿螺当田螺吃或致死”等多个话题登上热搜，引起广泛讨论。作为一种有害入侵物种，福寿螺在四川也很常见，为此四川还专门派出了鸭鸭来“处理”福寿螺。那么该如何区分福寿螺和田螺呢？本期手把手教你辨别↓↓,"区分福寿螺和田螺需看这三眼,四川这支鸭鸭先锋队带编上岗,90后大叔说农事",中立
5045203835029316,OiXXpl6m0,6425095323,平安黄埔,随着天气渐暖，水稻等农作物进入生长关键期，以水稻苗、莲藕等许多作物为食的福寿螺成为重要防治对象。福寿螺为什么不能和小龙虾一样以“吃”代“治”？误食福寿螺的后果有多严重？我们该如何分辨和清理福寿螺？戳视频，一起了解↓↓,"福寿螺为啥不能以吃代治,四个方法辨别福寿螺,夫妻不戴手套铲除福寿螺感染寄生虫",中立
5045196318576395,OiXLhzZ6X,2467781350,曲靖消防,随着气温升高，最近在广东多地出现福寿螺泛滥的现象，疾控专家提醒，对于福寿螺，不要轻易触碰。目前，福寿螺已经被列为重大危险性农业外来入侵生物之一。曾经有专家对福寿螺进行过实验，发现一个福寿螺体内的寄生虫可以多达6000条，未煮熟食用后，轻则发烧拉肚子，重则危及生命。,"夫妻不戴手套铲除福寿螺感染寄生虫,福寿螺体内寄生虫多达6000条","
强烈反对"
5045186528543222,OiXvuzQtU,2212756151,KFC盐酥鸡天下第一,心是好的，但注意保护自己,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5045185480753806,OiXtO3a6a,6749326760,任嘉伦的Angela,早安超话🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️「Angela💕💖已连续早起打卡1730天猫宁猫宁，我的爱❤️～低头见尘埃，抬头见花开，心态好、情绪好，运气就好，一切都好！今日天气：白天雷阵雨伴有冰雹，夜间晴，气温23~35度。～」🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🌸,"姜萍,夫妻不戴手套铲除福寿螺感染寄生虫",中立
5045153942733311,OiWEWbt3F,7797511866,烟屿璃默_Y,這兩個夫妻是好的衹是要注意帶手套哦,"夫妻不戴手套铲除福寿螺感染寄生虫,烟忆专属测ss",中立
5045148545974311,OiWwep4bR,3949985967,瓶子掉了,福寿螺真的很恐怖，我现在想想都已经头皮发麻了,夫妻不戴手套铲除福寿螺感染寄生虫,"
强烈反对"
5045145798181240,OiWrNykju,7526011677,风吹盛夏_初夏,清理也能被感染？这玩意也太毒了叭,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5045145424367576,OiWrcikcM,2258768424,风雨夜度人,福寿螺作为外来物种，跟加拿大一支黄花、巴西鳄龟，都被列为入侵物种。福寿螺卵不仅🈶神经毒素，而且🈶大量细菌跟寄生虫。在清楚福寿螺卵时最好做好防护。,夫妻不戴手套铲除福寿螺感染寄生虫,"
反对"
5045134622459229,OiW9MajKZ,6065802426,简阳发布,病从口入，小心这些寄生虫！不要游野泳、踏野水，提高警惕！福寿螺、黄鳝、小龙虾等常见食材，如果不经煮熟即食用，也会有感染寄生虫风险。,夫妻不戴手套铲除福寿螺感染寄生虫,"
反对"
5045133464831528,OiW7UkgTS,1514696174,温柔的夜11,这样有害的东西为什么叫福寿螺呢？,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5045120786761999,OiVNssn6v,1340536833,淮安感染肝病顾生旺主任,注意自我保护远离感染病淮安感染肝病顾生旺主任不戴口罩容易感染新冠、流感、肺结核等，不戴避孕套容易感染性病，艾滋病，不戴手套容易感染血吸虫，肝吸虫，，，，福寿螺及其卵可能携带多种病原体和寄生虫，如血吸虫、肝吸虫等，这些寄生虫可以通过皮肤伤口或者粘膜进入人体，引发严重的健康问题。血吸虫病，一旦感染，不仅治疗复杂而且病程漫长，严重时发生肝硬化腹水、脾亢、出血，甚至会危及患者生命。因此，在处理这类生物时，应格外小心谨慎。针对此类事件的预防，除了佩戴手套外，还应注意个人卫生，尤其是在户外活动或接触自然环境后，应及时清洗双手，避免用未洗净的手触摸食物或脸部。对于水域附近的居民，加强水体环境的管理，定期清理福寿螺及其卵也是必要的防控措施。我们要认识自然中潜藏的疾病风险以及日常生活中防护措施的重要性。福寿螺本身并非病原体的携带者，但其作为中间宿主的角色使得与之相关的风险不容忽视。随着夏季的到来，户外活动增多，希望大家正确对待自然界中的生物，既享受大自然的美丽，又不忽视其中可能存在的风险。,"传感医生加v站,我的防护手册,夫妻不戴手套铲除福寿螺感染寄生虫",中立
5045120690817728,OiVNj3qJa,2379797505,村是村村的村,这玩意儿传染性这么强啊！不带手套接触都会被感染，好可怕啊。,夫妻不戴手套铲除福寿螺感染寄生虫,"
强烈反对"
5045120380176996,OiVMO0K2M,5156580621,旌阳警方,①，福寿螺体内寄生虫多达6000条②生吃黄鳝可感染寄生虫，体内乱钻③小龙虾可携带肺吸虫④淡水鱼生鱼片有肝吸虫⑤吃三分熟牛排长出1米绦虫⑥涮羊肉未熟别吃⑦田螺可能有寄生虫⑧荸荠皮或有姜片虫，别用嘴啃皮。戳图，扩散周知！via@央视新闻@四川监狱@中国天气@首都老兵转给更多人一起涨知识,"夫妻不戴手套铲除福寿螺感染寄生虫,涨姿势",中立
5045120242551000,OiVMAaHDa,7432276213,Palpitate_冬日橘,吓人以后还是带着手套弄保护好自己吧,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5045089812087369,OiUZv8L1f,7348225300,柏林没有雾syuoo,搁网上看到那种那玻璃按福寿螺的也觉得有点ex,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5045089729251536,OiUZmCOKk,3760705624,安康中院,①，福寿螺体内寄生虫多达6000条②生吃黄鳝可感染寄生虫，体内乱钻③小龙虾可携带肺吸虫④淡水鱼生鱼片有肝吸虫⑤吃三分熟牛排长出1米绦虫⑥涮羊肉未熟别吃⑦田螺可能有寄生虫⑧荸荠皮或有姜片虫，别用嘴啃皮。戳图，扩散周知！via.@法治四川,"夫妻不戴手套铲除福寿螺感染寄生虫,涨姿势","
反对"
5045089617577932,OiUZbvNmI,3898311280,雅安公安,福寿螺、黄鳝、小龙虾、淡水鱼常见食材，如果不经煮熟即食用，有感染寄生虫风险。有哪些食材必须煮透了再食用？远离寄生虫还要注意哪些？戳↓↓了解。,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5045089563050200,OiUZ6cNuM,7333173030,安偌久,这玩意儿我们这边不吃！,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5045089363559079,OiUYMeVSv,5388240201,南阳日报,简单来说，两者不等同，但有一定的因果关系：感染是由细菌、病毒、真菌、寄生虫等病原体引起的，感染后可引起炎症反应；炎症不一定都是感染造成的，常见的“感染性炎症”如病毒性肺炎、细菌性肠炎，“非感染性炎症”如类风湿关节炎、血管内皮炎症等。感染是炎症中的一个类型，而炎症囊括的范围更广。,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5045089132872307,OiUYpc3dx,5538868578,呜哎瑞奈斯辣,啊是之后没有洗手还是因为什么原因，这个寄生虫也太顽强了吧,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5045089051083240,OiUYh4xNC,6881168982,JoJo_viva,这东西超级恶心的，还好我们这边没有,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5045089013599572,OiUYdf6pC,5516064420,__Belle_-,你好@曹国伟一起保护大自然@百万森林与社会携手做公益@微公益关爱唇腭裂儿童@嫣然天使基金关怀需要帮助的人@轻松筹多看央视新闻关心社会@央视新闻我们都要有爱心@微公益爱护大自然人人有责@大自然保护协会TNC爱护小动物从你我做起@熊猫守护者@小象未来成长计划少年强则中国强！儿童是祖国未来的希望@中国儿童少年基金会@中华儿慈会我希望在你的Fendi里@FENDI找一个Gucci的角落@GUCCI我希望在你的Tiffany@TiffanyAndCo蒂芙尼像一个粉色的TomFord@TOMFORD汤姆福特希望在你,夫妻不戴手套铲除福寿螺感染寄生虫,中立
5045071575778073,OiUw5of8J,5048013303,蓝犀牛搬家,做一件事情重要的便是辅助工具与装备是否齐全磨刀不误砍柴工就像搬家一样，装备齐全的话货损风险就会降低搬起家来效率也会更快消除福寿螺是好事但之后一定要做好防护呀,"日式搬家,夫妻不戴手套铲除福寿螺感染寄生虫",中立
