id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5067785129168667,OsroQCtbJ,1823863974,末日小梨酥,天天鼓励生育生二胎拼三胎但是女性只因怀孕就要遭受这样的对待原来世界对我不公是因为我不是公的😂😂,女子入职3个月怀孕被扣7个月绩效金,强烈反对
5067785111864301,OsroP7OZn,6805121733,悄悄碎掉的某潭,就这还催生呢？爸了个根的,女子入职3个月怀孕被扣7个月绩效金,"
强烈反对"
5067784836878782,OsronsRu6,2729129850,海峡导报,北京的王某于2020年4月入职某公司，2020年7月王某怀孕，2021年5月分娩，同年8月返岗工作。2022年4月，某公司向王某发送《通知》载明：“由于王某违反公司规章制度，没有提前提交生育申请，公司酌情自2021年9月起扣除王某7个月绩效奖金。”双方发生争议，王某向仲裁委员会提出仲裁申请，要求公司支付2021年9月到2022年3月期间的绩效奖金14123元。经仲裁委员会主持调解，某公司向王某支付了扣除的绩效奖金，王某撤回了仲裁申请。,"女子入职3个月怀孕被扣7个月绩效金,结婚登记不需户口簿如何防骗婚","
中立"
5067784784973157,OsroikRKd,7765087626,蔡August_涵,想要生育率还搞性别歧视现在女生都很清醒的好吗,女子入职3个月怀孕被扣7个月绩效金,"
反对"
5070561330598511,OtBCB2vHp,7102447890,法治枣庄,近日，据“北京人社”微信公众号，女子王某入职某公司三个月后怀孕，公司以其怀孕未提前申请为由扣除王某七个月绩效奖金。经仲裁委调解，公司向王某支付了扣除的绩效奖金。,女子入职3个月怀孕被扣7个月绩效奖金,支持
5069528191207411,OtaKf546n,3808758652,南溪发布,在职场，孕妈受哪些法律保护？享有哪些权利？看图了解↓via@央视新闻,女子入职3个月怀孕被扣7个月绩效奖金,中立
5069402338493715,Ot7tfzDBp,7795636050,李迈律说,女子入职三月怀孕奖金被扣，劳动纠纷律师：侵害生育权须补偿损失O女子入职三月怀孕奖金被扣，劳动纠纷律师：侵害生育权须补偿损失,女子入职3个月怀孕被扣7个月绩效金,支持
5069377554352206,Ot6PhigcS,3781860543,雁塔法院,由于生理状况有差异，女性在职场中难免会有特殊时刻。对此，劳动法、妇女权益保障法等法律法规给予了充分的保障。我国劳动法第二十九条明确规定，女职工在孕期、产假、哺乳期内的，用人单位不得解除劳动合同。妇女权益保障法也规定，任何单位不得因结婚、怀孕、产假、哺乳等情形，降低女职工的工资，辞退女职工，单方解除劳动合同或者服务协议。除此之外，劳动法规定，不得安排女职工在经期从事高处、低温、冷水作业和国家规定的第三级体力劳动强度的劳动。不得安排女职工在怀孕期间从事国家规定的第三级体力劳动强度的劳动等孕期禁忌从事的劳动。对怀孕7个月以上的女职工，不得安排其延长工作时间和夜班劳动。根据女职工劳动保护特别规定，女职工生育享受98天产假，难产的和生育多胞胎的，还会增加产假。另外，由于各地实施的政策不同，产假天数也有所不同。面对职场歧视，要勇敢说“不”！转自人民法院报,女子入职3个月怀孕被扣7个月绩效奖金,支持
5069203501482553,Ot2iy6dG9,6617723367,二次元的橘子酱,真好，又一个HR下次招聘的时候慎重给女生机会了。多点这样入职就怀孕的，女生找工作就更顺利了,女子入职3个月怀孕被扣7个月绩效奖金,反对
5069150405792039,Ot0UUoiLZ,3474620860,上海工会发布,据@澎湃新闻消息，近日，“北京人社”微信公众号公布一消息，女子王某入职某公司三个月后怀孕，公司以其怀孕未提前申请为由扣除王某七个月绩效奖金。经仲裁委调解，公司向王某支付了扣除的绩效奖金。,女子入职3个月怀孕被扣7个月绩效奖金,支持
