id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5047455056136359,OjUwppKlx,7877913370,吸脂塑形脂肪医生刘丁,大面积大基数的异体材料注射填充对自身局部的一个血液是会有所破坏的，追求美一定要谨慎选择吸脂超话,"女子注射400支玻尿酸丰臀致臀部感染,自体脂肪丰臀,腰腹环吸,深圳吸脂,大腿环吸","
反对"
5046323942526179,Ojr62aBaP,7821921342,芫肆_jm,我就看看我就看看我就看看我就看看我就看看我就看看我就看看,"男子误机花6000从天津打车到西安,女子注射400支玻尿酸丰臀致臀部感染",中立
5044502256946545,OiFHPt973,1508661252,上饶信使,6月9日，据江西旅游广播：女子为丰臀注射400支玻尿酸，导致臀部感染被医生要求立即取出。当事人孟女士表示之前臀部里面注射过一些不明物体，包括玻尿酸、硅油，奥美定律等填充物。据了解，这些填充物都是被禁止的。孟女士在6月1号去泰国的医院打玻尿酸，打了400多支。后来屁股里面开始化脓，去医院检查医生说需要立刻取出。因为玻尿酸刺激到了以前注射的奥美定和硅油引起的感染。孟女士最后奉劝大家填充物别轻易打脸。@搜狐千里眼,"赣事播报,女子注射400支玻尿酸丰臀致臀部感染,你会尝试做医美吗","
中立"
5044403553699545,OiD8Dfwq5,7722929896,假体丰臀黄佳涌,早就说了不要在臀部注射不明物体了………,女子注射400支玻尿酸丰臀致臀部感染,"
强烈反对"
5044229009052720,OiyB6BZ1C,1859661774,金华磊哥,女子注射400支玻尿酸丰臀致臀部感染：很后悔，大家千万不要随意整形,热门视频,强烈反对
5044125592977452,OivUjcuzq,3955273284,陇南政法,投诉，是指消费者为生活消费需要购买、使用商品或者接受服务，与经营者发生消费者权益争议，请求市场监督管理部门解决该争议的行为。举报，是指自然人、法人或者其他组织向市场监督管理部门反映经营者涉嫌违反市场监督管理法律、法规、规章线索的行为。@律视微言@中国长安网@陇原政法@陇南发布@陇南中院@陇南检察@陇南公安@陇南交警@陇南司法@陇南日报社,"消费者可以采取的维权渠道之投诉举报,女子注射400支玻尿酸丰臀致臀部感染",中立
5044090477478452,OiuZFvnuc,6190239926,眼整形医生陈勇,刚刚看到新闻说某，在国内这种注射手段只要是正规医院正规机构有证医生都不允许。过量往人体注射玻尿酸可能会导致血管压迫或阻塞，，严重情况下会导致局部组织坏死并伴随皮下组织机械性损伤、硬块、结节等。求美的过程中我们还是要遵循，适当、有度、科学的角度出发。,"女子注射400支玻尿酸丰臀致臀部感染,长沙伊美美眼博士团队","
反对"
5043859077992696,OioYrxxgs,1199581807,态度岛,6月9日，据江西旅游广播：女子为丰臀注射400支玻尿酸，导致臀部感染，被医生要求立即取出。当事人孟女士表示之前臀部里面注射过一些不明物体，包括玻尿酸、硅油，奥美定律等填充物。据了解，这些填充物都是被禁止的。孟女士在6月1号去泰国的医院打玻尿酸，打了400多支。后来屁股里面开始化脓，去医院检查医生说需要立刻取出。因为玻尿酸刺激到了以前注射的奥美定和硅油引起的感染。孟女士最后奉劝大家填充物别轻易打脸。,"女子注射400支玻尿酸丰臀致臀部感染,你会尝试做医美吗","
反对"
5043854450889335,OioQZ3Jm7,3840902209,昆明五华发布,近日，一引发关注。专家表示，玻尿酸是一种酸性黏多糖，是身体结缔组织的重要成分之一，可维持皮肤及结缔组织的弹性。玻尿酸具有很强的吸水性，注射后可吸入组织液中水分，常用于填充静力性皱纹。,女子注射400支玻尿酸丰臀致臀部感染,中立
5043851521950286,OioMg8bme,5615376787,娃娃喻苦果亦是果,朋友圈仅供参考，具体以实物为准万般皆是命，半点不由人,女子注射400支玻尿酸丰臀致臀部感染,中立
5043840249760887,Oiou4EXfF,5873577567,熬夜秃头肥宅,女子发视频表示：注射了400支玻尿酸丰臀致臀部感染，很后悔，千万不要随意整形,,强烈反对
5043836034224463,OionhhIYv,2010261880,社会与法频道阎肃,阎肃观察超话6月9日，据江西旅游广播：女子为丰臀注射400支玻尿酸，导致臀部感染被医生要求立即取出。当事人孟女士表示之前臀部里面注射过一些不明物体，包括玻尿酸、硅油，奥美定律等填充物。据了解，这些填充物都是被禁止的。孟女士在6月1号去泰国的医院打玻尿酸，打了400多支。后来屁股里面开始化脓，去医院检查医生说需要立刻取出。因为玻尿酸刺激到了以前注射的奥美定和硅油引起的感染。孟女士最后奉劝大家填充物别轻易打脸。@搜狐千里眼,女子注射400支玻尿酸丰臀致臀部感染,"
反对"
5043823910849977,Oio3J3z7j,7713469343,道哥的日记,6月9日，据江西旅游广播：女子为丰臀注射400支玻尿酸，导致臀部感染被医生要求立即取出。当事人孟女士表示之前臀部里面注射过一些不明物体，包括玻尿酸、硅油，奥美定律等填充物。据了解，这些填充物都是被禁止的。孟女士在6月1号去泰国的医院打玻尿酸，打了400多支。后来屁股里面开始化脓，去医院检查医生说需要立刻取出。因为玻尿酸刺激到了以前注射的奥美定和硅油引起的感染。孟女士最后奉劝大家填充物别轻易打脸。,"女子注射400支玻尿酸丰臀致臀部感染,你会尝试做医美吗","
反对"
5043819525442977,OinWEmPXX,7806918954,-诗冬碎年裳7-,真的说实话好多人整的都比原来的难看，少数的好看自己自己难道都没感觉到吗？,女子注射400支玻尿酸丰臀致臀部感染,"
反对"
