id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5086483645993183,OAhPKp96f,2397860672,宜宾临港警方,入住酒店九大隐患，一定要注意↓↓↓出门多个心眼，家人少份牵挂，请转发扩散，提醒更多人！via@人民日报@青岛气象@法治四川@平安北大荒@广州铁路,女子称一丝不挂被2次刷开酒店房门,中立
5085321677506560,OzNBBvuNy,7559089669,想吃Day酱,不会写词条就去让黑格查查，sd东西私绝了,女子称一丝不挂被2次刷开酒店房门,中立
5085132704714440,OzIGOjMrm,7344982468,laisoon赖顺,分享一个作品给你“做不到息事宁人”女子称一丝不挂反锁房门仍被人2次刷开酒店房门酒店：事发时该网友并未反锁房门门被刷开是因该房间需维修师傅不知道房内已经住客目前酒店方已向该网友道歉双方正协商后续解决方案快手#@快手,,中立
5084964475637753,OzEjtnEDv,6902226022,六幕与顾,不是事实吗？为啥还“女子称”,女子称一丝不挂被2次刷开酒店房门,中立
5084915802046579,OzD2Y8Apl,5405414295,我可真圆,什么神金标题不会写别写,女子称一丝不挂被2次刷开酒店房门,中立
5084851497861152,OzBnfwZ2M,5861037183,荷塘绿光,标题不描写女性身体处境是犯法吗？想出头就把女性的苦难顶出来，谁说这不是个吃女人的世界呢？《论吃女人的九九八十一种吃法》,女子称一丝不挂被2次刷开酒店房门,强烈反对
5084820671038290,OzAzx4m6C,5822334131,我是落生,就非得用这个“一丝不挂”做标题吗？酒店的过错，却要用这样的字样，去描述被骚扰的受害者离了黄腔不会写新闻了？,女子称一丝不挂被2次刷开酒店房门,强烈反对
5084468970520875,Ozrqh2bvd,7540877338,一拳捶死星期一,天呐。这是别人的房间啊。。为什么不能一丝不挂了。天呐。你们怎么就这么奇怪呢。是不是多了个把的就是了不起啊？搞不懂了。,女子称一丝不挂被2次刷开酒店房门,强烈反对
5084468823460777,Ozrq2ewiZ,7541138510,用户7541138510,『女子称一丝不挂被酒店工人2次刷开房门_手机新浪网』L女子称一丝不挂被酒店工人2次刷开房门,,中立
5084633521720601,OzvHG7dBD,6421111471,黑猫投诉,据潇湘晨报：9月29日，河南信阳。一女子发布一段监控视频，称自己入住茗阳汤泉酒店，在早上八点多的时候，房间门被人用卡刷开了。女子称当时她一件衣服都没有穿，直接被吓醒，这个人还反复打开门两次。随后女子还展示了她将门反锁后，按下门把手门还是可以直接被打开，她表示开门男子是酒店请来的维修工人，酒店不便宜，但管理方面的失职真的让人不寒而栗。当事人在评论区表示，自己会勇敢维权。她称：“我做不到息事宁人，做不到随便原谅！”的微博视频,"黑猫投诉,女子没穿衣服被人2次刷开房门,女子称一丝不挂被2次刷开酒店房门","
强烈反对"
