id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5086790000000000.0,OApIW4Alu,2504872014,十堰市张湾区人民检察院,近日，浙江杭州。女生下馆子付6元餐具费，结账后把碗筷打包带回家。当事人：付完餐费后，还有一个餐具费用，而且还是6块钱一份，一下子火气就上来了，就跟服务员说既然付了餐具费能不能带走，服务员同意了我们才拿走的。,"付完餐具费可以带走餐具吗,女生付完6元餐具费后打包带走碗筷","
支持"
5086380000000000.0,OAfeLkEL0,7815014051,屿承谢幕,女生吃饭完得付6元餐具费，结账后直接把碗筷打包，当事人：服务员同意了才带走的。,凑合一口,中立
5085730000000000.0,OzY82zGiP,1882632930,新消息报,近日，浙江杭州。一女生在餐厅就餐付了6元餐具费后，把碗筷打包带回家，引起网友热议。当事人表示，付完餐费后，还有一个餐具费用，而且要6块钱，务员同意了才拿走了餐具。,"女生付完6元餐具费后打包带走碗筷 ,付完餐具费能带走餐具吗,社会热点",中立
5085710000000000.0,OzXB2CFI3,1765677414,好久不见的旋转跳跃,很合理，付了钱，商家也同意，没问题。,女生付完6元餐具费后打包带走碗筷,"
支持"
5085670000000000.0,OzWxHfZq7,2098015544,爱青岛,近日，浙江杭州。女生下馆子付6元餐具费，结账后把碗筷打包带回家。当事人：付完餐费后，还有一个餐具费用，而且还是6块钱一份，一下子火气就上来了，就跟服务员说既然付了餐具费能不能带走，服务员同意了我们才拿走的。@新周刊,"女生付完6元餐具费后打包带走碗筷,付完餐具费可以带走餐具吗",中立
5085650000000000.0,OzWfTrgvl,1443766420,黄石人民广播电台,近日，浙江杭州。一女生在餐厅就餐付了6元餐具费后，把碗筷打包带回家，引起网友热议。当事人表示，付完餐费后，还有一个餐具费用，而且要6块钱，火气一下子就上来了，就跟服务员说既然付了餐具费能不能带走，服务员同意了我们才拿走的。@齐鲁晚报,"付完餐具费能带走餐具吗,女生付完6元餐具费后打包带走碗筷","
中立"
5085550000000000.0,OzTqCaW8D,5639895252,赫洋H,据科普中国，许多人为了减肥，喜欢采用吃素的方式。坚持了一段时间，不仅没掉秤，反而还重了几斤，还有人甚至在体检中发现血脂不降反升。其实，吃素并不等于热量低。吃素减重要考虑，一是吃得多动得少，能量依然会过剩变成脂肪。二是如果食物中糖、油脂等高热量的食物占比过多，也容易能量超标。三是烹饪方法，这也可能是大家忽略的一个关键点。O吃这6类素菜，约等于在“喝油”！很多人天天吃却不知道,"为啥有人吃素却还是长胖了,吃这6类素菜约等于喝油,女生付完6元餐具费后打包带走碗筷",中立
5085180000000000.0,OzJUEBj1p,7862385847,Lu_亭亭雨下,可以就该这么干付钱了为啥不能带走,女生付完6元餐具费后打包带走碗筷,中立
5085180000000000.0,OzJUn4QwI,7496393765,椿叽困猫,完全没有问题啊付了钱拿走没问题啊服务员都同意了,女生付完6元餐具费后打包带走碗筷,"
强烈支持"
5085180000000000.0,OzJUg8bOb,6929084835,植物园说车,人家一没偷二没抢，连服务员都说可以带走。有什么问题？现在的顾客也太卑微了吧,女生付完6元餐具费后打包带走碗筷,中立
5085180000000000.0,OzJUcBqnb,7782522015,刘十一和307,饭店本就应该提供餐具，不然让客人用手吃啊,女生付完6元餐具费后打包带走碗筷,"
支持"
5085180000000000.0,OzJUc17SA,7269358727,爱为人士hy,完全没问题啊，付了💰的咋就不能带走，绝对可以！,女生付完6元餐具费后打包带走碗筷,支持
5085180000000000.0,OzJU16cE7,7713566472,无时效指令,勇敢的人先享受世界服务员同意了那也没什么好说的,女生付完6元餐具费后打包带走碗筷,中立
5085160000000000.0,OzJvdxLdx,1763798724,程年人别熬夜,干的漂亮现在出门吃饭，往那一坐，啥菜没点呢，先消费好几十,女生付完6元餐具费后打包带走碗筷,中立
5085160000000000.0,OzJuMq1KH,1898587152,施兄评测,没毛病，合理，双方也没异议,女生付完6元餐具费后打包带走碗筷,中立
5085160000000000.0,OzJuoqCgC,7799333737,Sweet_聆詋颖迅,下次试试，餐具费，纸巾费，炭火费，开开心心吃饭，憋憋屈屈看账单,女生付完6元餐具费后打包带走碗筷,中立
5085160000000000.0,OzJuoqBF5,1249819153,云无心45,如果是叫“餐具费”那么顾客就可以带走；如果是叫“餐具清洗费”，那么就不能带走。不管是“餐具费”还是“餐具清洗费”，都是巧立名目来转嫁费用，就跟欧美给服务员的小费一样。而且，“餐具费”也有越来越高的趋势，就像米国的小费越来越高一样。,"付完餐具费可以带走餐具吗,女生付完6元餐具费后打包带走碗筷","
反对"
5085150000000000.0,OzJ81sDud,7604284601,圈内利祥,学到了，下次谁再让我付餐具💰我就打包带走,女生付完6元餐具费后打包带走碗筷,中立
5085150000000000.0,OzJ7EfS4F,6203405022,自来随云散自去逐水流,收1元你们无所谓，他们就开始收2元；你们也能接受，那就受3元；收6元也能忍？那很快就收10元了。社会地位需要自己争取的，消费者应有的地位也一样。,女生付完6元餐具费后打包带走碗筷,反对
5085150000000000.0,OzJ7ukN9I,6716786880,V小小一员,之前吃铁锅炖买了四人套餐结果只有两个人吃走的时候要求退两份餐具钱结果老板直接说你们可以带走两个,女生付完6元餐具费后打包带走碗筷,中立
5085130000000000.0,OzIJFtFrT,6528723670,神明嘎嘎嘎乱杀,快来广州吧球球了，遍地都是餐位费,女生付完6元餐具费后打包带走碗筷,中立
5085130000000000.0,OzIJoudnK,5888532120,Claire4DW,本浩☀️极好，🉑️卷🉑️蹭🈲️快啭！与极好的人转攒萍，互动能加快⇑☀️芬！如果不想浪费光阴的话，要么静下心来读点书，要么去赚点钱，这两点对你将来都有用，感觉累的时候，坚持下去，你就会发现到达了人生的另一个高度。|,"提醒我公民暂勿前往以色列,女生付完6元餐具费后打包带走碗筷",中立
5085060000000000.0,OzGGksXsT,5876965012,定陶发布-,近日，浙江杭州。女生下馆子付6元餐具费，结账后把碗筷打包带回家。当事人：付完餐费后，还有一个餐具费用，而且还是6块钱一份，一下子火气就上来了，就跟服务员说既然付了餐具费能不能带走，服务员同意了我们才拿走的。齐鲁晚报的微博视频收起,"勇敢的人真的可以先享受世界,女生付完6元餐具费后打包带走碗筷,定陶融媒",中立
5085540000000000.0,OzToogL49,5639895252,赫洋H,近日，浙江杭州。一女生在餐厅就餐付了6元餐具费后，把碗筷打包带回家，引起网友热议。当事人表示，付完餐费后，还有一个餐具费用，而且要6块钱，火气一下子就上来了，就跟服务员说既然付了餐具费能不能带走，服务员同意了我们才拿走的。,"付完餐具费能带走餐具吗,女生付完6元餐具费后打包带走碗筷","
中立"
5085530000000000.0,OzSTLhYoh,3169639583,阿B哥日常,做了我想做而不敢做的事…开了饭店还要收取餐具费，难道去吃饭的人，还要自己带碗筷吗？,女生付完6元餐具费后打包带走碗筷,"
支持"
5085520000000000.0,OzSIxoSIE,7050405112,偶值林叟,我昨天晚上去吃饭结账时没注意，回来看单据才发现有个餐具费12元。喔我个去，第一次遇到。,女生付完6元餐具费后打包带走碗筷,中立
