id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5091636533528604,OCrSReNWY,7266874338,豆姐Eva,孕妇2次到店借用厕所和店员起争执,,中立
5091168016662712,OCfHbrXh6,7335870234,阿腥kmw,孕妇2次到店借用厕所和店员起争执，商家发监控澄清，被对方挂网上辱骂差评！10月16日，云南昆明。一咖啡店店家发视频称：一位孕妇一早来借用厕所，当时刚开张让其使用了卫生间。中午，她第二次来借用厕所，但并没有询问店员，店员提醒卫生间不对外开放，并告知外面有公厕，对方称自己是孕妇憋不住了，要怎么样？两人发生争执。随后被孕妇和其同行男子辱骂，并拍视频发布网络，对店进行差评。对方则称：公共厕所被锁起来了才来的咖啡店，是商家态度恶劣在先。,,中立
5091141156081076,OCeZRpvXS,7266874338,豆姐Eva,云南昆明，有游客发视频爆料称：某咖啡店不让孕妇上厕所，并在大众点评上差评。随后，涉事商家发出全部监控视频，还原了事件全过程！！！,,中立
5091139624897763,OCeXoky8b,2948080847,道叔bot,云南昆明。游客吐槽某咖啡店不让孕妇上厕所，并在大众点评上差评，后续商家发出全部监控视频，还原了事件全过程。网友称这就是冻僵的蛇，你救它，它转过来还要咬你。,孕妇2次到店借用厕所和店员起争执,中立
5090613115228206,OC1gblW5U,5678690954,长安万里行,10月16日，云南昆明，有游客爆料称：某咖啡店不让孕妇上厕所，并在大众点评上差评。今天，涉事商家发出全部监控视频，还原了事件全过程。你们怎么看？！,"孕妇2次到店借用厕所和店员起争执,微博跨域计划,真相",中立
5090597981395063,OC0RM5QV1,1314608344,新闻晨报,10月16日，云南昆明。一咖啡店店家发视频称：一位孕妇一早来借用厕所，当时刚开张让其使用了卫生间。中午，她第二次来借用厕所，但并没有询问店员，店员提醒卫生间不对外开放，并告知外面有公厕，对方称自己是孕妇憋不住了，要怎么样？两人发生争执。随后被孕妇和其同行男子辱骂，并拍视频发布网络，对店进行差评。对方则称：公共厕所被锁起来了才来的咖啡店，是商家态度恶劣在先。的微博视频,孕妇2次到店借用厕所和店员起争执,中立
5090958099876725,OCaeBFro1,7293813897,通天書生諸葛臥龍,好討厭，太沒禮貌了，他們的子女真可憐。。。。諸葛臥龍反忽小隊超话,孕妇2次到店借用厕所和店员起争执,中立
5090954690429117,OCa971NDf,7523460071,凯丽姐姐家庭教育,善待孕妇是良俗公序的体现，但是孕妇方你们是不是也要遵守一下功德呢？进人家店打个招呼不难吧！第二次象征性地买杯喝的也不难吧？用让别人迁就你，被拒绝了还要网暴店家就过分了。你是孕妇还是巨婴？,孕妇2次到店借用厕所和店员起争执,"
强烈反对"
5090947788704522,OC9XYAwrw,1434928235,简直逆天了,10月16日，云南昆明。一咖啡店店家发视频称：一位孕妇一早来借用厕所，当时刚开张让其使用了卫生间。中午，她第二次来借用厕所，但并没有询问店员，店员提醒卫生间不对外开放，并告知外面有公厕，对方称自己是孕妇憋不住了，要怎么样？两人发生争执。随后被孕妇和其同行男子辱骂，并拍视频发布网络，对店进行差评。对方则称：公共厕所被锁起来了才来的咖啡店，是商家态度恶劣在先。,孕妇2次到店借用厕所和店员起争执,中立
5090921308489552,OC9hgzCwg,2632269023,御史书童,孕妇是特殊人群，所以需要大家照顾。而不是特权人群。除非法律规定，照顾你是情分，而不是本分。是善良，而不是义务。你生的孩子又不是他家的。,"孕妇2次到店借用厕所和店员起争执,律师说法",中立
