id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5065244844231121,OrnjChKHT,7540129873,浪浪山学弟,12年前的世界纪录被打破，孙杨说为自己感到骄傲,"大学生奥运助威团,我的元气暑假,暑假就要一起high","
支持"
5065228138580749,OrmSFA0fb,5692817874,蛇口电视台,在刚刚结束的巴黎奥运会男子1500米自由泳比赛中，美国运动员FINKEBobby以14:30.67的成绩打破了@孙杨在2012年伦敦奥运会创造的世界纪录。自2012年8月5日孙杨打破世界纪录开始，到今天已经整整12年。孙杨超话,"孙杨的世界纪录被打破,孙杨的世界纪录保持了12年,孙杨世界纪录被打破",中立
5064410166986386,Or1BmtjtE,6815156537,不加糖的哦,你35岁的年纪怎么睡的着的@孙杨,孙杨世界纪录被打破,中立
5064358733807922,Or0gpfYC6,2145258394,苏婠夕,孙杨1500米世界纪录被打破！保持了整整12年，孙杨隔空参加奥运会,,中立
5064340181090668,OqZMu4zJq,6192877183,篮球面对面,在一档节目中，孙杨对于自己的世界纪录被打破做出了回应，他表示：“内心深处感到十分欣慰，并为自己感到自豪。当纪录被打破之际，我希望看到中国的选手能够挑战这个项目。更多的年轻运动员可以从国内赛事起步，逐步迈向国际舞台。成名要趁早，刷新纪录亦然，芬克目前正处在最佳年龄。尽管这次纪录被美国队夺走，但作为游泳界的一员，我们仍要给予祝贺。打破纪录本身便具有重要的里程碑意义。”,"孙杨回应纪录被打破,孙杨是不是真的是疯子啊",支持
5064336996044397,OqZHlpmqh,6179910516,篮球新鲜事,：具有重要的标志性意义，同时也为自己感到自豪。8月5日，在《泳AI中国》节目中，孙杨谈到了自己保持了12年的1500米自由泳世界纪录被打破一事。他表示：“已经非常欣慰，为自己感到自豪。在纪录被打破的同时，也希望中国有选手能够挑战这个项目。更多的年轻运动员可以从国内开始，然后再向世界展示自己的实力。成名要趁早，破纪录也要趁早，芬克现在正是好时候。虽然美国队拿走了纪录，但作为游泳人，还是要表示祝贺。破纪录的同时也具有重要的标志性意义。”,"孙杨祝贺芬克破纪录,孙杨回应世界纪录被打破,孙杨是不是真的是疯子啊","
支持"
5063680626787370,OqICGstHI,1499104401,新浪军事,新华社巴黎8月3日电，前几天，中国选手潘展乐以打破世界纪录的成绩、赢得巴黎奥运会男子100米自由泳金牌后，自称自由泳专家的澳大利亚教练布莱特·霍克，通过社交媒体发表了一段视频来质疑潘展乐的表现。因为中国奥运健儿在各个赛场全面出击、劈金斩银，记者忙于应付各类报道，没来得及细看专家高见。直到今天忙完郑钦文夺得网球女子单打冠军报道后，记者想回看那位专家视频，却发现已被发布者“下架”了。从其他转发的媒体上看，感觉他不仅是专家，简直就是游泳界的“懂王”。他是这样描述自己身份的：“我研究过这项运动，我研究过速度，我懂它，我是这方面的专家，我就是干这个的。”然后就是一顿哔哔。O质疑潘展乐后悄悄删视频，人们看懂了这个澳洲“懂王”,"孙杨解释潘展乐没上接力决赛的原因,潘展乐关注了质疑自己的澳洲教练",中立
5072797015479749,OuxMxmZx3,6273067686,喜欢夸美人,2010年朴泰桓是亚洲游泳明星，孙杨还是游泳小将，孙杨师兄看到了站在二楼的孙杨指了指他前面的朴泰桓，示意他偶像在这里。。。走在前面庆祝自己获得🥇的朴泰桓并不清楚这一切的发生，不知道有一个未来打破两项世界纪录的泳帝暗恋他5年。。。大雾四起，偷偷藏匿，我在无人处爱你。距离朴泰桓知道孙杨从小喜欢他还有2年。。。,,中立
5072409464144979,OunHshoiv,2590506090,青春北京,2024年中国网络文明大会28日在成都开幕。巴黎奥运会上，中国游泳队创下多项纪录。游泳运动员汪顺‌@汪順Steve接受中新网记者采访时表示，中国游泳队拿下两枚金牌，是弥足珍贵、创造历史的。“小潘@潘展乐获得男子100米自由泳冠军，是打破了欧美人长期垄断。作为游泳人来说，我觉得这个成绩足以媲美博尔特的100米短跑世界纪录。这枚金牌非常让人振奋，也非常给我们整个游泳队提气。”谈及中国游泳队拿下男子4×100米混合泳接力冠军，汪顺表示，在过去所有奥运会的这个项目上，美国队基本包揽了，这次中国游泳队能够在巴黎奥运会拿下该项目的金牌，身在这个团队中他深感荣幸和骄傲。,"汪顺说潘展乐成绩媲美博尔特百米纪录,2024中国网络文明大会来了,汪顺祝愿孙杨越来越好",中立
5072188477014656,OuhX1tqPC,7818986054,吃菜的悟空,“我这四年，比重生还痛苦”真的被孙杨的失声痛哭虐到了，好心疼1. 孙杨这四年禁赛非常艰难，比重生还痛苦，张豆豆最清楚他的处境。2. 禁赛期间，孙杨不能有专业教练、不能用标准泳池，还被人盯着举报，只能自费包酒店、去小区楼下泳池训练，冬天泳池很冷，且要应对极尽羞辱的尿检。3. 某些人试图毁掉孙杨，因为他的横空出世打破了他们的种族优越感。4. 孙杨在2010年打破亚洲纪录，2012年打破世界纪录，20岁时意气风发，荣耀众多，但在最黄金的几年错过东京奥运会、巴黎奥运会和杭州亚运会。5. 孙杨选择带货是为了支撑自费训练的支出，包括租场地、自聘体能教练和营养师。6. 中国男子游泳单项金牌数一共有27枚，孙杨独占14枚。7. 孙杨的项目训练量大，短距离一天四五千米，中长距离一天二十多公里。8. 曾经的孙杨会因被污蔑而愤怒，现在多了坦然，他也遇到了陪伴自己的人，妻子对他无条件支持，他感念父母和妻子。9. 孙杨曾因国旗掉落要求重升国旗，他曾拖着国家游泳队前行，如今复出是为了证明自己，而不是与后辈争冠军，展现了真正的奥林匹克体育精神。孙杨张豆豆游泳世界冠军,,中立
5071706223809503,Ou5pcfZ1B,7818986054,吃菜的悟空,你敢相信这是32岁的孙杨的后背吗？当初年仅20岁的孙杨以14分31秒02的成绩打破了1500米自由泳的世界纪录，成为当之无愧的世界飞鱼。然而，本该有着璀璨未来的他却在巅峰期遭到了四年的竞赛处罚。不过，即便是不能参赛，孙杨依旧没有放弃过训练。每天日复一日的高强度训练让他的背后全是伤痕。也正是这些伤痕，才能让他再次复出时依旧能以3分49秒58的成绩夺冠。只能说，机会永远都会留给有准备的人。虽然他无奈错过了巴黎奥运会，但是相信四年之后的洛杉矶奥运会，他依旧会闪耀全场。,,中立
5071704530094686,Ou5mt0oDc,7529272321,时光利刃岁如梭,你们这些把刀尖永远对着国内的媒体人，真的让普通人感到寒心四年零三个月没有正规训练，复出参赛却说他在国际上缺乏竞争力，那么我请问呢，400自的亚洲纪录名字是谁？今年奥运才被打破的1500自的世界纪录名字是谁？他只是热爱游泳，也还在坚持努力找回曾经的自己，那颗赤子之心。你们却想用舆论把他高高捧起再踩到泥土里，这样的事已经有一次了还不够吗？这一次请在舆论上保护好他，这是我们唯一能做到的事了,孙杨夺冠成绩在国际上还缺乏竞争力,"
强烈支持"
