id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5018910000000000.0,O7VRsy8kk,3940846201,辰羽墨染,没在直播间买过东西，不过这几天有点想买了，想买性价比高的无骨鸡爪，实体店真的太贵了，但是一直犹豫没敢下手，怕味道不好又怕全是汤汁没几块鸡爪,小杨哥退出与美腕合资公司,中立
5018900000000000.0,O7VKFDuxn,6580962970,立场班长大队,这又是怎么了？不过没看过他直播没买过他东西,小杨哥退出与美腕合资公司,中立
5018900000000000.0,O7VIZbcZd,6034810914,嘻嘻你又芒了,我朋友的男神啊毕业论文非写小杨哥让她导师劝退了,小杨哥退出与美腕合资公司,中立
5018890000000000.0,O7VtWBKgd,1303834011,#NAME?,黄念老说，我们这个世间进一退九，进了一步就退了九步了。我们进入中年的人体会就很深，真的是初发心成佛有余。成德现在回想起来，比起刚到海口去的那个愿力都差很多了，那当然要赶快再提起来。第二，就是这个世间一个人进步，九个人退步，这个是指修行的人，一个人进步，九个人退步。还有第三个意思，进步一步，当下就同时隐藏着退步九步的危险在其中。所以祸福相倚，修行人为什么战兢惕厉，为什么要战战兢兢，如临深渊，如履薄冰？一不谨慎，四大烦恼常相随，这个无始劫的烦恼它就上升了，不知不觉。你看「我爱」，一切人事物，什么时候开始有贪爱？不知道啊。你比方说，认识一个人，跟他关系很好，突然有一天闹点别扭，很不高兴，看到他也觉得很烦，有怨恨心了。这个怨恨心从哪里来的？从爱来的，所以爱跟怨恨是一件事，都是情执产生的作用。所以黄念祖老居士讲，「定须习」，我们修戒定，需要练习。所以李老师说简单的事情重复做，重复的事情用心做，用心的事情，～成德法师,小杨哥退出与美腕合资公司,中立
5018890000000000.0,O7VsLofEz,7882641102,祈愿灯织序,卖货卖的好好的为什么突然要退,小杨哥退出与美腕合资公司,中立
5018890000000000.0,O7Vs0FKgS,6075598188,纤凝仙,退了就对了，赶紧去关注一下,小杨哥退出与美腕合资公司,"
支持"
5018880000000000.0,O7V5X9Ks3,6193784544,-17的理想,请问这事影响我月新3000吗？？🤔,小杨哥退出与美腕合资公司,中立
5018880000000000.0,O7V5vBnKj,6854701172,是小小小小白熊,等等美腕不是李佳琦在的公司吗？666,小杨哥退出与美腕合资公司,中立
5018880000000000.0,O7V5t2vCk,7817836221,夏日-追逐星,嗯嗯嗯哦哦哦好好好知道了知道了知道了知道了知道了,小杨哥退出与美腕合资公司,中立
5018900000000000.0,O7Vy1hKfv,2771458793,陪吴韬走过漫长岁月_期待殷逢版,知道了知道了我都没在他家买过东西,小杨哥退出与美腕合资公司,中立
