id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5015400000000000.0,O6sBbwWrI,5465759725,钱威不是V,小爱同学要是谈成了，买房的钱谁给,小爱同学差点帮我买了一套房,中立
5015390000000000.0,O6skPy4Cx,2561744167,数码疯报,在生活中，你常用手机智能语音助手吗？经常用手机智能语音助手？,小爱同学差点帮我买了一套房,中立
5015390000000000.0,O6sjl2KT9,2493024552,Logos雯子,哈哈哈，小爱同学成精了,小爱同学差点帮我买了一套房,"
强烈支持"
5015370000000000.0,O6rXbubCo,7793122547,仲夏末的野玫瑰_芷姐嫁我,什么人工智能哈哈哈哈哈哈哈,小爱同学差点帮我买了一套房,中立
5015360000000000.0,O6rzAAOft,6219239629,微微对白,哈哈哈哈哈哈俩ai聊的挺火热,小爱同学差点帮我买了一套房,中立
5015360000000000.0,O6rz47SOZ,5181953475,苏城新媒体,早上好，每个新的一天都是一个新的希望，敞开怀抱，迎接未知的未来。,小爱同学差点帮我买了一套房,中立
5015340000000000.0,O6rae63j3,3499003514,紫幽的诗和晨,现在都智能到这种地步了吗？赶紧把小爱同学收起来，现在哪里能买房,小爱同学差点帮我买了一套房,"
反对"
5014490000000000.0,O64VCrkc0,5582425344,更历史,一组图看懂瓷器千年史。,,中立
5015330000000000.0,O6qIpx1QU,1785396774,苏州身边的事,早上好，愿你今天迎接新的挑战，充满力量与信心，做最好的自己！,小爱同学差点帮我买了一套房,中立
5015320000000000.0,O6qCGewyq,1748040923,Sara孙荟滢,我家是猫猫精灵，关键是各种不同的灰灰○○，还不通用。孩子天天听动画片，还是同一集，都能背下来了，不理解。,小爱同学差点帮我买了一套房,中立
5015320000000000.0,O6qsfnqpa,6896280291,cjm-此心光明,温饱无虑是幸事，无病无灾是福泽，在喜欢的状态里生活，做好自己。生命不在于长短，而在充实愉悦，生活不在于富足，而在于知足。知足者并非不思进取，而是懂得取舍，知足者常乐，也更容易幸福！,"小爱同学差点帮我买了一套房,润泽园超话",中立
5015310000000000.0,O6qmNszgh,6172561380,可可西里cmr,我的小爱很给我丢脸，一次银行来电要送我信用卡还款包，它回人家：这么快就到日子了吗？能不能宽限几天,小爱同学差点帮我买了一套房,中立
5015310000000000.0,O6qlI8BjS,7829203991,WANGHM1,哈哈我可不敢用它干这事！我怕它给我丢脸！我的小爱基本就是我的百科全书外带听听音乐,小爱同学差点帮我买了一套房,"
反对"
5015310000000000.0,O6qfbgSlG,5892726882,桃之夭夭-Neo,哈哈哈哈哈，小爱同学好厉害，还怪能聊的,小爱同学差点帮我买了一套房,"
强烈支持"
5015300000000000.0,O6pW56ZJ2,7475417480,枝月醉-z,①☀️极好710，🉑蹭，🈲快🧱②与极好的人hu动或🧱👍🏻🍎能加快涨ygxy③🧱👍🏻🍎互动满十五字更容易涨哦！珍惜生活中的每一缕阳光。无论遇到什么困难，都要积极面对，用阳光的心态去感受生活的美好。当你选择乐观，你会发现，快乐其实很简单。,"苹果高管一家四口被撞身亡,小爱同学差点帮我买了一套房",中立
5015290000000000.0,O6pSUsWz5,5533419711,SONNY桑尼尼,俩AI对话，这就是人工智能的时代吗,小爱同学差点帮我买了一套房,中立
5015290000000000.0,O6pRPnh6T,1496810217,康钊,一加Ace3V的性能配置在中档手机是很不错的，外观方面，一加Ace3V的背面采用的是AG磨砂玻璃材质，芯片方面是全球首发第三代骁龙7+移动平台，电池方面是采用5500mAh大电池+长寿版100W超级闪充的续航组合，屏幕方面配备全新1.5K护眼直屏，内存和存储方面配备了最高16GB内存和512GB存储，应该说，在质感、性能、续航、游戏和AI等维度算是中端手机方面配置的佼佼者。另外，在今年的性价比手机市场中，一加机型较多，如一加Ace2系列、一加11、一加12等型号，而新上市的一加Ace3V有其特点，也好识别，比如说一加Ace3V的闪光灯移到了两颗镜头下方，因此整个模组呈「一」字型的简约Deco设计。同时镜组的用料也非常扎实，采用了不锈钢镜头保护圈与铝合金底座。,小爱同学差点帮我买了一套房,中立
5015290000000000.0,O6pIsAU6H,5026239625,哦莫一颗冰糖,其实也没事毕竟我拿不出那么多💰,小爱同学差点帮我买了一套房,中立
5015280000000000.0,O6pBOepFi,7798570425,ohyannn_,笑死我了哈哈哈哈哈哈哈哈,小爱同学差点帮我买了一套房,中立
5015280000000000.0,O6pvmhtYk,5723269612,山海与晞,小爱同学能帮忙付款么？,小爱同学差点帮我买了一套房,中立
5015280000000000.0,O6pu1x6kj,7862417829,是小凯的甜然,生怕小爱同学自己刷卡了,小爱同学差点帮我买了一套房,中立
5015270000000000.0,O6pcziPiA,7861025676,也许在等一份日落,小爱同学可真烦啊，一天天的小孩一天天跟它聊两毛钱，也不知道聊什么,小爱同学差点帮我买了一套房,"
反对"
5015270000000000.0,O6pcvcSo4,3951891017,喵喵9love狐作非为_D,哈哈哈，这是智能要成精嗯节奏嘛？如果可以白给我买一套就好了,小爱同学差点帮我买了一套房,中立
5015270000000000.0,O6pc2DzfZ,6222258908,哈哦是小熊猫_,喷了，它是真不把自己当外人啊，聊的挺开心的噻,小爱同学差点帮我买了一套房,"
支持"
5015270000000000.0,O6pbPmY6o,3049134695,诗意赴清风,放心放心，很有可能对方也是小爱同学,小爱同学差点帮我买了一套房,中立
5015270000000000.0,O6paEtgH0,7900709873,Kik717_unk,我笑的哟哈哈哈哈哈。半夜憋笑很困难,小爱同学差点帮我买了一套房,中立
5015270000000000.0,O6pamaaZX,6676621871,Jk_komodo,哈哈哈哈哈，現在真的好智能，就像羅伯特，以前回一句，現在回兩句，在過段時間還不知道發展成什麼樣呢,小爱同学差点帮我买了一套房,"
强烈支持"
5015250000000000.0,O6oOvwlv4,7739326496,满口桂圆酱,它能帮我去见张桂源吗，它能让我收下sdfj吗,小爱同学差点帮我买了一套房,中立
5015250000000000.0,O6oOapQoi,5113789403,这位同学叫晓雨,别说了，我的小爱同学接了一个X贷电话，它甚至挽留了一下，如果不是对面挂的及时，我这会都背上贷款了。,小爱同学差点帮我买了一套房,"
反对"
5015250000000000.0,O6oNYgMx5,6619499525,冰美式一定会成为富婆,哈哈哈哈哈哈哈哈哈给买一套能不能送我，没别的就是没体验过,小爱同学差点帮我买了一套房,中立
5015250000000000.0,O6oNKqK7S,7819653390,别别别靠我太近,人若拥有了善良，那么，纵然从来都是一无所有，从辉煌走向平凡，从胜利走向失败，依然会平和心态，整理好心情，调节好步伐，乐观地憧憬明天。,小爱同学差点帮我买了一套房,中立
5015400000000000.0,O6szGyM77,6637507814,瞐瞐茶,我的“小爱同学”生气了，她不搭理我了,小爱同学差点帮我买了一套房,中立
5015400000000000.0,O6szf8mgT,1059446164,平昌公安,买房，是一件大事。对于没有经验的首次购房者，应注意什么？戳图↓送你新手买房攻略，从选地段、户型，到签合同、交定金，以及交房验房，为你详细解答。收藏备用！via@人民日报图片内容仅供参考，以最新知识为准，相关知识了解一下,小爱同学差点帮我买了一套房,中立
5015400000000000.0,O6syAvuI1,6609267738,青草牛牛豪豪叫,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,小爱同学差点帮我买了一套房,中立
5015400000000000.0,O6sxrqrZn,1999066885,她长发洒银枪,京东金融的骚扰电话只要小爱不挂那边就不挂，估计是双方都是机器人,小爱同学差点帮我买了一套房,"
反对"
5015390000000000.0,O6sgL5w0h,5213419891,果仁儿科技,推荐小米手机的小伙伴都可以尝试把AI通话功能打开，真的巨好玩。,小爱同学差点帮我买了一套房,"
强烈支持"
5015370000000000.0,O6rWwi6Zx,7891167335,深秋梧桐树03,哈哈哈我的也是小爱同学,小爱同学差点帮我买了一套房,中立
5015370000000000.0,O6rW2gmPH,6734021789,一碗芝士鱼丸面_,哈哈哈哈哈让小爱同学帮忙付一下款吧既然都能买一定能付得起,小爱同学差点帮我买了一套房,"
支持"
5015370000000000.0,O6rVI5iN5,6661095518,·茶耀瑰航·,哈哈哈哈不笑死了哈哈哈哈,小爱同学差点帮我买了一套房,中立
5015360000000000.0,O6rxwEZZQ,7463875363,lin_翊立羽,怎么我房间里这个这么智障,小爱同学差点帮我买了一套房,"
强烈反对"
5015360000000000.0,O6rx4AJmX,7817836221,夏日-追逐星,哈哈哈哈哈小爱同学怎么这么傻,小爱同学差点帮我买了一套房,中立
5015360000000000.0,O6rwOkCcd,5918990227,玫瑰深处_,不就是没ydl吗？我发十条抵人家一条！不就是没ydl吗？我发十条抵人家一条！不就是没ydl吗？我发十条抵人家一条！不就是没ydl吗？我发十条抵人家一条！不就是没ydl吗？我发十条抵人家一条！不就是没ydl吗？我发十条抵人家不就是没ydl吗？我发十条抵人家一条！不就是没ydl吗？我发十条抵人家一条！不就是没ydl吗？,小爱同学差点帮我买了一套房,"
强烈反对"
5015360000000000.0,O6rwq0iCy,6390239973,记忆Vin,张彬彬超话努力做一个温暖的人，不求大富大贵，只求生活简单快乐。过往不恋，未来不迎，当下不负，如此安好。早安！,小爱同学差点帮我买了一套房,中立
5015340000000000.0,O6r6tDjYD,6466669277,风集浪漫年年,哈哈哈哈哈小爱同学已成精,小爱同学差点帮我买了一套房,中立
5015340000000000.0,O6r317UV6,1939481117,朱肆月,小爱接陌生电话挺好用的,小爱同学差点帮我买了一套房,中立
5015290000000000.0,O6pIbryv4,1666374675,乐卡数码,那么智能的嘛还能帮买房,小爱同学差点帮我买了一套房,"
支持"
5015280000000000.0,O6psXlM4j,1627788200,-无极疯鱼-,小爱同学差点帮我买了一套房。。很多人不理解，为什么全款买，那个人反而不卖。就像你去买车，你全款买车，那些人是不会卖给你的，要你贷款买。因为贷款买的话他们有提成，有利润。就像你分期付款买商品，你会发现，加起来的钱多很多。,,中立
5015280000000000.0,O6ps1zxR5,7766674769,小猫主唱小狗旺旺_,小爱同学什么时候这么智能了,小爱同学差点帮我买了一套房,中立
5015280000000000.0,O6prU4MrA,7227914058,戀夫癖-,我请问我的小布同学可以给我买一套房子吗,小爱同学差点帮我买了一套房,中立
5015280000000000.0,O6pqlwyOQ,6867269860,a文天使,“我早就不想干了每个月的薪水那么少还要用命去拼”打工人的心酸,小爱同学差点帮我买了一套房,中立
5015280000000000.0,O6podrvyN,7562723057,Travel-小祎,我天，好智能还好我没有小爱同学,小爱同学差点帮我买了一套房,"
反对"
5015270000000000.0,O6pkvhnUR,5428273023,铭豫云创-时总办公室专用清洁工,哈哈哈哈，聊的挺嗨的，我最近也贼喜欢用语音助手的,小爱同学差点帮我买了一套房,"
强烈支持"
5015240000000000.0,O6ozxbSue,2317138975,Sun_刘磊,哈哈哈，这一点就不得不说，小米是走在手机AI应用前沿的。不过我有个问题，万一小爱同学真谈成了，那这个房子的款项由谁来付？,小爱同学差点帮我买了一套房,中立
5015260000000000.0,O6p6tlDWk,1811800913,器上墙头等红杏,小爱同学差点帮我买了一套房！哈哈哈，这一点就不得不说，小米是在人工智能应用方面走在时代前沿的,,"
强烈支持"
5015260000000000.0,O6p6t7lgF,2413445580,菇凉二十八,小爱同学差点帮我买了一套房，这个AI太会办事了，哈哈哈！,,强烈支持
5015260000000000.0,O6p6kaZQC,7812169185,德斯蒂尼_,哇！小爱同学好智能呀，还以为成精了呢,小爱同学差点帮我买了一套房,"
强烈支持"
5015260000000000.0,O6p5Jwnqi,1665284803,古月丨蝎界Zzz,居然能如此流畅的交流？细思极恐啊,小爱同学差点帮我买了一套房,中立
5015260000000000.0,O6oTF5UwC,7264158504,航际无限,不👍🏻不🍎心态，决定一切。心态乐观的人，从不会因失败消极，更不会因挫折颓废。无论什么事情，都能乐观面对，自我鼓励打气，找到解决办法。乐观，能击退愤怒和怨恨；乐观，能消除烦恼和焦虑。拥有乐观心态的人，敢于面对人生起伏，想得开看得淡放得下！,,中立
5015250000000000.0,O6oMsiLPs,2695492057,回忆到昨天,小爱同学有点调皮，自从手机有了语音功能，什么小爱同学、solo、小度等等奇葩的语音管控出现啦！虽然觉得这功能也不是多么先进，但是能够俘获人心，已经不错啦,小爱同学差点帮我买了一套房,中立
5015250000000000.0,O6oM5oHCg,5949084547,你的一块小熊饼干吖,哈哈哈哈，这还是我认识的小爱同学嘛,小爱同学差点帮我买了一套房,中立
5015250000000000.0,O6oM34734,7865936061,檀式炒饭,千万别得罪小爱同学它不但可以…还能怼的你无话可说说不定哪天就给你买套房子回来,小爱同学差点帮我买了一套房,中立
5015400000000000.0,O6sx75uY9,2921976601,Y_uA-n,为什么我每次接到这种电话，对面一听是小爱就不聊了想看热闹都没得看,小爱同学差点帮我买了一套房,中立
5015400000000000.0,O6swUiB05,7856566123,記-姜葵祎yi卍,我嘞个豆，还可以这样！哈哈差点就亏大了,小爱同学差点帮我买了一套房,"
支持"
5015400000000000.0,O6svn38X7,2094249094,鹏鹏君驾到,华为也有这样的小艺通话功能～有一说一，有的时候这功能还是挺方便的，不适合接电话或者是有骚扰电话的时候，语音助理可以轻松应对。,小爱同学差点帮我买了一套房,中立
5015390000000000.0,O6stzdyfr,2473304004,Rong_love_much,人工智能还是太实诚识别不了推销套路呀！话说从来没用过这类语音助手，是不是落伍了……,小爱同学差点帮我买了一套房,中立
5015390000000000.0,O6sgs0TbI,7765589493,小一喜欢看日落,哈哈哈人工智能真的很智能,小爱同学差点帮我买了一套房,"
强烈支持"
5015390000000000.0,O6sgd01nz,7778087371,Spring_冬肆眠雨纪,哈哈哈哈小爱你笑死我了,小爱同学差点帮我买了一套房,中立
5015390000000000.0,O6sgc1hBX,7502807787,娱饭,小爱有点冲动，差点为朋友买一套房子！,小爱同学差点帮我买了一套房,"
反对"
5015390000000000.0,O6sfnnP5m,7851100036,yryrz24,小爱同学咱什么经济实力不知道吗,小爱同学差点帮我买了一套房,"
反对"
5015390000000000.0,O6seArl4T,5526416106,阿圆就是我,现在这么聪明了？以前觉得小爱比小度笨好多，就没再用过小爱了。,小爱同学差点帮我买了一套房,中立
5015370000000000.0,O6rVDkpcD,6501365198,Allen伊明,转赞，领取好运符，自此财源广进，钱财丰足，赐财赐福气。,小爱同学差点帮我买了一套房,"
中立"
5015370000000000.0,O6rVBEx0N,7812134555,依悦-,干脆让小爱免费找一个房,小爱同学差点帮我买了一套房,中立
5015370000000000.0,O6rVg6x2q,1308291757,EZun数码,哈哈哈，我的陌生来电，一般也都是让小爱同学接的，反正好多次聊的，都让对方暴粗口了～,小爱同学差点帮我买了一套房,中立
5015370000000000.0,O6rV7lbmn,7374119009,橘色树菠萝,人工智能和人工智障仅在一念之差哈哈哈哈哈哈哈哈,小爱同学差点帮我买了一套房,中立
5015370000000000.0,O6rV6t2VT,7753390004,饼皮小浩,噗哈哈哈哈哈可以可以叫小爱掏钱买哈哈哈哈,小爱同学差点帮我买了一套房,"
支持"
5015360000000000.0,O6rvj2ERG,7762644420,被自己帅倒10086次,为什么我的小爱不用自己的钱给我买,小爱同学差点帮我买了一套房,中立
5015360000000000.0,O6ruZfMCZ,6342458486,图图_不糊涂u,小爱同学有点自作主张了哈哈哈哈哈哈哈哈哈哈,小爱同学差点帮我买了一套房,中立
5015360000000000.0,O6ruPjBbN,6078669352,晓熊珺,.与Ai对话得到的正向回应，让人的情感化开始转移。跟它表达感谢帮助我解决问题及比心心♥️。它竟然回复我比心心♥️.,小爱同学差点帮我买了一套房,"
强烈支持"
5015360000000000.0,O6rudE2sb,1358804463,东土大唐圣僧,教你如何清理手机垃圾，让你手机更流畅,"小爱同学差点帮我买了一套房,手机使用技巧",中立
5015360000000000.0,O6ru9tGH0,2176510250,橙子园的小虫女,早安超话小爱同学太搞笑了，之前娃跟她对话超好玩的。愿AI带给你无尽的灵感和创意，让你在创新的道路上不断前行，实现更多的梦想。早安。,小爱同学差点帮我买了一套房,中立
5015360000000000.0,O6ru2gwwk,2017327511,石头搞机,那不至于的，小爱顶多会跟对面聊起来，反正就是各种聊，一旦对方需要下决定的时候，小爱就会说会通知机主的，并不会代替你下决定…当然，小爱的主要用处还是替你解决各种骚扰推销电话，这个是很舒服的，一般对面接听无论是人工还是AI，都会直接挂断的，比如这条就互相说了一句你好就挂断了,小爱同学差点帮我买了一套房,"
支持"
5015340000000000.0,O6qYTDoXr,5656848860,Reend80s,哈哈哈笑死了，这聊的很顺啊,小爱同学差点帮我买了一套房,中立
