id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5071583859967903,Ou2dPFP6D,2470123875,青白江应急,生活中难免会遇到一些意外，要想科学的救人，就必须要懂得一些急救常识。心肺复苏在关键时刻可以挽救人的性命，建议大家都可以学一些关于心肺复苏的常识，以备不时之需。一起来了解下心肺复苏操作流程。,教师遭网课爆破猝死案2成年人被拘留,中立
5070118607914662,Otq6wxcXQ,6028023806,_惊竹月,????我有点不认识字了你再说一下处决是什么！??,教师遭网课爆破猝死案2成年人被拘留,中立
5069654225584879,Ote1wnqSH,7202511272,不想说话可以不,建议以其人之道还治其人之身哈,教师遭网课爆破猝死案2成年人被拘留,中立
5069608881228604,OtcQo59Cc,7814500053,渽听什么,无论是不是成年人都应该为自己的行为负责,教师遭网课爆破猝死案2成年人被拘留,"
支持"
5069234552180789,Ot36D99k1,1694335715,俄语口译杨杰Lisa,还是要自己心理强大，不然郁闷致死，别人不需要承担任何相应成果，只留个亲者痛仇者快的结局,"教师遭网课爆破猝死案2成年人被拘留,女教师遭网课爆破猝死涉案人已道歉",中立
5069234550603941,Ot36D2x6Z,7147974549,御冬术,这个事情我有印象因为很ex但是等了这么久就等到这个十多天的结果是真的吗能不能解释一下,教师遭网课爆破猝死案2成年人被拘留,中立
5069234423993286,Ot36qgKPQ,7802283553,Augetyol,ss爱我，我爱ss.ss爱我，我爱ss.,教师遭网课爆破猝死案2成年人被拘留,中立
5069234276929988,Ot36bt4O0,7765460068,消失的红色枯茶,生命如晨曦般短暂，如夕阳般绚烂。人生总有许多遗憾，那些命定的悲感，我们无可逆转，也不可挽回。在度过黑暗，等待曙光来临之前，千万别忘了关心自己。珍惜当下，让遗憾随风散去，美好留在心底。给心灵一米阳光，温暖安放，心若向阳，无畏悲伤。,教师遭网课爆破猝死案2成年人被拘留,中立
5069233948199489,Ot35Eyp3P,7205457382,像星光的你,动物不会说话，如果它们也会说话，一定会说：你怎么可以那么坏？跟人一样坏。逝者已逝，愿生者家人一切安好。,教师遭网课爆破猝死案2成年人被拘留,"
强烈反对"
5069233931158681,Ot35D4Rqp,7786921089,万木争,#一条人命，无人入刑，两名涉案成年人被拘留了十多天。其他行政处罚完事了，这位老师辛辛苦苦教书被网暴猝死离世。看起来以后有人出钱还可以再干一次……,教师遭网课爆破猝死案2成年人被拘留,强烈反对
5069233329279412,Ot34ECVZW,5859213726,叫什么名字好呀_,这么多年了网暴真的有人管得了嘛？网课爆破造成无辜教师死亡，成年人只拘留十天，未成年人只行政处罚，最后道个歉，也太轻了吧？！我是从来不相信这些犯罪分子所谓道歉的，有几个是真心觉得自己错了？法律想给加害者，特别是未成年改过的机会，那谁给受害者重新活过来的机会？谁给受害者家属本可以幸福生活的机会？希望能看到严重惩罚未成年违法犯罪者及其监护人的一天,教师遭网课爆破猝死案2成年人被拘留,强烈反对
5069233266099453,Ot34ypAKh,7483179863,Doomsdayyy_,一条人命，无人入刑，两名涉案成年人被拘留了十多天。老师辛辛苦苦教书被人泄露直播号捣乱离世。看起来以后有人出钱还可以再干一次，这罚的是这意思吗？,教师遭网课爆破猝死案2成年人被拘留,强烈反对
5069233234905344,Ot34vkA6s,7407782470,小章鱼有翅膀,10天？未成年进少管所都得一周吧？何况是成年人啊,教师遭网课爆破猝死案2成年人被拘留,"
反对"
5069233203976005,Ot34sgGl7,7831145095,Jsikyos_祎雨漫我心,对结果一点都不满意，凭什么才十天,教师遭网课爆破猝死案2成年人被拘留,"
反对"
