id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5060480337708877,OpnmVwlqJ,7782394797,_Right饺子,如果你做的不开心可以离职，这是什么神仙老板啊啊,李佳琦说旺旺离职不会挽留,中立
5060386118438823,OpkUXzpk3,7758107202,幽然199812,你公司的人要辞职，或许因为不开心，因为因为工资不够，或许因为其他原因，那是你不努力吗？让员工这么难受，要离职！,李佳琦说旺旺离职不会挽留,中立
5060376142022158,OpkES8u3s,5237621974,祎只傅容浓浓瑾祎姐姐鸭,不挽留他是尊重他的决定,"李佳琦说旺旺离职不会挽留,祎只傅容浓浓瑾祎姐姐鸭",中立
5060370775671413,OpkwdnNop,5616499533,SUYE64060,:老板当然不会留人啦没有人是无可替代的,李佳琦说旺旺离职不会挽留,中立
5059259618038145,OoRC1xJ5v,1256363904,顶流颜究社,李佳琦说如果旺旺离职，他不会挽留，但会给离职费,,中立
5058966637251213,OoJZtuqn3,7336343439,来一桶泡菜,李佳琦真是朱旺旺人生路上的贵人，这段对话好有意思李佳琦说朱旺旺现在正在一个飞速成长的的阶段，朱旺旺说这个公司对于她来说自己像一个特例李佳琦“你在这个社会上都是一个特例，我们两个都是特例，把这个特例好好保护起来，让她们觉得我关注的没有错我喜欢的没有错它真的有在往想象中的一个发展方向发展我们去做到她们想要的一个状态那是让我开心的一个状态。当有一天旺旺跟我说佳琦我这个工作很不开心了我一定会让你走我会说你要多少钱的离职费给！”,"李佳琦说旺旺离职不会挽留,我家那闺女","
强烈支持"
5058474562028139,OoxbO8vBV,1956700750,电商报,突然理解为什么李佳琦助播旺旺事业运旺了，二本月薪翻百倍，好的履历太重要。,李佳琦说旺旺离职不会挽留,中立
5060318394323942,Opj9Ji8R0,7738430966,Kiku-来一杯珍珠粥,已阅已阅已阅已阅已阅已阅已阅,李佳琦说旺旺离职不会挽留,中立
5060288627867900,OpinIx0NC,5553147299,枫雪嘉人,天下没有不散的宴席，好聚好散也是一种美好的缘分和相遇,李佳琦说旺旺离职不会挽留,中立
5060287152260187,Opill9tYD,7857632991,济南市槐荫区分局受害人167万元,如果法律无法给受害人带来正义的结果，那就是在把受害人推向另一个极端，致使一些受害人做出一些危险的行为，所以为什么我们一定要呼吁司法公正不容侵犯。这不光是为了每个当事人的利益，更是为了维护社会的和谐。,李佳琦说旺旺离职不会挽留,中立
5059750255137060,Op4nnlynO,3800880695,追星女孩柳飘飘,给几百万年薪，也支持员工自己做的决定，没啥pua的吧,李佳琦说旺旺离职不会挽留,中立
5059749997711598,Op4mXwm8C,2723411657,冲浪小课堂,看来李佳琦是个蛮严肃的人，不是那种内在很松弛的人。,李佳琦说旺旺离职不会挽留,中立
5059749697296057,Op4mtuC2l,1621163334,文娱小青年,提出离职当然是想清楚再说出来啊，不然在职场玩欲擒故纵？他作为老板，应该就是尊重伙伴的意愿。,李佳琦说旺旺离职不会挽留,中立
5059712988482848,Op3pgzAM8,2702986070,摸娱少年,我觉得已经很好了，多少公司急着让你你走人，还不给全离职补偿费的。,"李佳琦说旺旺离职不会挽留,李佳琦说如果旺旺离职绝不挽留",中立
5059712771688613,Op3oV75hH,5234383637,Bunny娱乐,其实我觉得作为老板，李佳琦没有说错。,"李佳琦说旺旺离职不会挽留,李佳琦说如果旺旺离职绝不挽留",中立
5059712372966405,Op3ohcrHf,1254582185,超能打工人,我觉得这才是成熟的老板，就应该有这些思想觉悟。,"李佳琦说旺旺离职不会挽留,李佳琦说如果旺旺离职绝不挽留","
支持"
5059712188678959,Op3nYApNd,1794940973,下娱,说说而已的，旺旺做的好好的，肯定不会随便离职跟自己过不去的。,"李佳琦说旺旺离职不会挽留,李佳琦说如果旺旺离职绝不挽留",中立
