id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5065527133997312,OruEVgLSM,5204977141,盈盈春水绿如蓝,有两件事挺神奇，一件是上个月某天早上起床前突然梦见洞庭湖，很长的风光旖旎的梦，，结果梦醒了起床后就看到洞庭湖决堤的新闻。另一件是前两天，聊起老一辈对什么落叶归根啊后辈来给自己上坟啊特别有执念，我就说：事实上领走的骨灰是不是自己家的都未必呢。结果这两天就爆出倒卖湿体这事了呵呵哒。很欣赏爆料的律师，像他这种财富自由了没抓紧润而是选择承担巨大风险来做点实事的，也算乱世枭雄了。讲真，我想到人死了还要被火烧成灰困在小小的盒子里埋在地里，还有人来坟上念叨，我都觉得烦，我喜欢自由飘荡，我喜欢孤芳自赏，生前都不想搭理别人，死后把我彻底忘了行不行。人死了，就代表ta以人的形式参演的剧本落幕了，下线了，啥也不是了，如果ta生前实现自我价值，自然会有人缅怀ta纪念ta，但作为死人来说，比起被火烧，还不如直接放海里被鱼吃了，以另一种方式进入自然界的循环。只不过都像我这样想的话，殡葬行业啊卖墓地的啊卖骨灰盒的啊都要失业了。,,中立
5065273407439119,Oro3GvdfN,6090644888,娱乐圈小旋风,默默关注洞庭湖决堤情况，并低调捐助五十万元支援灾区，若非捐赠名单公示，无人知晓他的善举，真是演艺界公认的优秀榜样?,何炅,"
支持"
5064854585745127,Ordaao6zl,5853177909,面上有灰笑满腮1,天之变是灾吗？那只是人本位主义的意识形态认知而已。比方说洞庭湖的决堤，人类割据之前，洞庭湖有堤吗？就算黄石火山大爆发，那也只是地球一个大喷嚏，正常之事也。移星易宿，龙蛇起陆，皆自然之常事也。,,中立
5064080431780012,OqT1x7t3S,5367869265,Oo0_c,洞庭湖决堤，然后修补上河堤？那本来就是洞庭湖的一部分，本来就是蓄洪的，保护的是更大范围的人，,,"
支持"
5063409856685956,OqBzXs3k0,1960785875,津云新闻,这一个多月来，地处内陆的湖南，仿佛成了暴雨中心。从平江县特大暴雨，水漫半个新城区，到华容县洞庭湖决堤226米，数千名群众连夜撤离，再到衡阳突发山体滑坡15人遇难、湘潭县涓水河18小时3处决口、资兴特大暴雨30人遇难35人失踪······正遭受灾害考验的湖南牵动着全国人民的心。@津云,,中立
5063049591395069,OqscT5QV7,2453824340,云南迪庆消防,7月5日17时48分，湖南省岳阳市华容县团洲垸洞庭湖一线堤坝发生决堤，洪水顷刻侵袭村庄、农田。人员转移，两栖作战，彰显大国应急力量！请看本期《应急时刻》：勠力同心战风雨洪流↓@CCTV生命线,"南方暴雨抗洪救灾在行动,防汛抗旱进行时",中立
5062923125525966,OqoUUnbyu,3008634494,菏泽消防,央视|《应急时刻》：勠力同心战风雨洪流】7月5日17时48分，湖南省岳阳市华容县团洲垸洞庭湖一线堤坝发生决堤，洪水顷刻侵袭村庄、农田。人员转移，两栖作战，彰显大国应急力量！请看本期《应急时刻》：勠力同心战风雨洪流↓@CCTV生命线,"南方暴雨抗洪救灾在行动,防汛抗旱进行时",中立
5062921931459375,OqoSZ67Ej,5433898646,北京大兴消防,北京大兴消防超话7月5日17时48分，湖南省岳阳市华容县团洲垸洞庭湖一线堤坝发生决堤，洪水顷刻侵袭村庄、农田。人员转移，两栖作战，彰显大国应急力量！请看本期《应急时刻》：勠力同心战风雨洪流↓@CCTV生命线,"南方暴雨抗洪救灾在行动,防汛抗旱进行时",中立
5062122851273625,Oq4695lkl,5342220662,应急管理部,7月初，湖南省遭遇严重暴雨洪涝灾害，岳阳市平江县汛情严峻，华容县团洲垸洞庭湖一线堤坝发生决堤险情。在党中央、国务院坚强领导下，国家防总、国家防灾减灾救灾委员会强化统筹协调，应急管理部会同有关部门和地方迅速响应，调派各类救援力量和专业物资装备支援平江县内涝和华容县决口险情抢险救援，派出工作组专家组赴现场指导，会同国家粮食和物资储备局紧急调拨中央救灾物资，支持做好受灾群众紧急转移安置及过渡期生活救助工作。7月31日至8月1日中午12:00，中央电视台社会与法频道《应急时刻》将连续播出2期湖南防汛抗洪专题节目，讲述社会各界勠力同心战风雨洪流的感人故事。敬请关注！@CCTV生命线,"洞庭湖决堤抢险救援,直击救援救灾一线","
中立"
5061901451790044,OpYl37vFG,6721625964,明日登基查尔斯,我在洞庭湖边长大得，经历过98年的大决堤，这事儿我门儿清。这是真免不了的，希望不要一出事就找人背锅。老话说了，千里之堤毁于蚁穴，人类的力量不过如此，用泥堆的堤坝就这样，老鼠洞，蛇洞，蚂蚁洞。这些东西就是天生打洞的，一晚上就能打得四通八达。很多还是打在水泥覆面里面的，外表看着好好的，浪一冲刷，里面就空心了，人力巡逻用肉眼根本就看出。有说用探伤仪。但这个东西吧，先不说设备成本和培训成本，就算给巡防人员人手一台，也查不过来的。有可能你查完这边，确认没问题了，查那边的时候，这边就给你打通了。只要不是纯混凝土的堤，就永远都避免不了这些问题。蛇虫鼠蚁，这是灭绝不了的东西，要尊重大自然的规律。,村民称决口前河堤常有老鼠洞,中立
