id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5088192174227520,OB0hrhJLO,7732871046,高压氧-_,加油加油下个赛场见啦，健康快乐涨球就可以了,王楚钦止步中国大满贯32强,中立
5088063393631886,OAWVJfeOO,7766458619,暮瑟晚风,是时候再放出这张图了我服了那些天天说你行你上的粉丝，你确定你这不是在招黑找骂吗，一个专业运动员居然得靠和普通人比来挽尊吗，就像你一个高中生跑去做人家小学生的试卷拿了第一你该不会还骄傲上了吧还有举一堆例子说马龙樊振东谁谁谁也拿过32强的，王楚钦的问题是拿32强吗，是短短几个月卫冕32的同时还三大赛挂0，别人是输过，但大赛冠军也没少拿啊。体育竞技，菜是原罪，你赢了自然有人夸你，如果王楚钦将来能拿个大满贯，那绝对一堆人夸的，粉丝捂嘴一万句不如你哥亲自拿一个大赛金牌有说服力,王楚钦止步中国大满贯32强,强烈反对
5087752758755613,OAOQHAJJz,7354641142,印度德拉·莫迪,你说粉实力吧，常年爆冷，你说粉颜值吧，…很帅吗？不太能理解都是些什么粉丝,王楚钦止步中国大满贯32强,"
反对"
5087553412404656,OAJFba5yM,3325469234,云裳诉离弦,不以为耻，反以为荣。说饭圈谁最饭圈，wtt还在这还统计微博热搜数呢发战报呢，比娱乐圈艺人很多工作室都专业多了。那统计热搜怎么不把“王楚钦止步中国大满贯32强”统计上去，阅读量4.3亿，可比你图中字体最大的“马龙VS林诗栋”的2.1亿翻了一倍还不止。之前说偏心32强还有人不信……,,"
强烈反对"
5087314449006857,OADrKBN5T,7407624854,比目鱼视频,在10月8日举行的第27届亚洲乒乓球锦标赛男团1/4决赛中，王楚钦首盘爆冷，以2-3不敌14岁的伊朗小将本雅明·法拉吉，五局比分分别为8-11、11-3、11-9、11-13、9-11。本雅明·法拉吉出生于2009年12月21日，不满15岁，世界排名在200名以外，而王楚钦目前以7825分排名世界第一。这场比赛中，王楚钦先丢一局，随后以11-3、11-9连扳两局，但法拉吉以13-11、11-9连续险胜，最终战胜王楚钦。不过在第四盘，王楚钦再次出战，找回手感，以3-1击败阿拉米扬，帮助中国男队最终以3-1逆转伊朗队，成功晋级半决赛。赛后采访中，王楚钦分析了首盘失利原因，他表示在第四局大比分领先时对一些球处理得没有特别谨慎小心，在第五局的关键时刻，对一些球的处理又不是特别好，总结这场输球的主要原因还是自己的无谓失误过多。王楚钦近期状态不佳，在此前的WTT中国大满贯男单比赛中，王楚钦1比3不敌丹麦选手安德斯·林德，止步男单32强。此次亚锦赛，他放弃了男双的比赛，仅参加团体和男单两个项目的单打比赛。,王楚钦爆冷,中立
5086789752590000,OApNtaRMc,6161531693,永诚123,随着北京大满贯赛落幕！诞生10个最1，最佳团队-中国乒乓球队2，最大赢家—林诗栋3，挣钱最多—林诗栋4，最大输家—日本队5，最没想到—王楚钦止步男单32强6，最不可思议—张本美和一局未赢，居然连丢三局0-3惨败给国乒陪练何卓佳，不仅遭遇女单一轮游，而且三局比分都没有上双7，最惊喜球员—向鹏，林诗栋，向鹏8，最佳抗日球员—莫雷加德接连击败三位日乒主力，打进男单八强9，外协表现最佳球员—林德，徐孝元10，最值得致敬老将—马龙林诗栋三项比赛具体奖金如下男单10万美元，双打奖金平分后，林诗栋可以获得混双4250美元，以及男双2750美元三项奖金累计10.7万美元,,中立
5086647198417241,OAm5xzjHX,3123867792,疯狂d体育迷,大满贯赛，国乒男单球员获奖金积分[玫瑰]1、林诗栋，冠军获得者，10万美元、积分20002、马龙，亚军获得者，6万美元、积分14003、梁靖崑、向鹏，4强获得者，各获得4万美元、积分7004、林高远，8强获得者，2万美元、积分3505、周启豪，16强获得者，1.4万美元、积分1756、王楚钦、徐瑛彬、曾蓓勋、陈垣宇、薛飞，32强获得者，各获得1.1万美元、积分907、徐海东、袁励岑，64强获得者，各获得5000美元、积分20中国大满贯赛，无疑老将马龙很厉害、小将林诗栋很出色，王楚钦意外止步32强，梁靖崑林高远正常发挥，二线选手里向鹏最出色，战胜强敌莫雷加德，首次打进WTT大满贯赛四强！,,中立
5086624269210622,OAluyCE6q,7083377042,JR体角日记,大满贯赛，国乒男单球员获奖金积分1、林诗栋，冠军获得者，10万美元、积分20002、马龙，亚军获得者，6万美元、积分14003、梁靖崑、向鹏，4强获得者，各获得4万美元、积分7004、林高远，8强获得者，2万美元、积分3505、周启豪，16强获得者，1.4万美元、积分1756、王楚钦、徐瑛彬、曾蓓勋、陈垣宇、薛飞，32强获得者，各获得1.1万美元、积分907、徐海东、袁励岑，64强获得者，各获得5000美元、积分20中国大满贯赛，无疑老将马龙很厉害、小将林诗栋很出色，王楚钦意外止步32强，梁靖崑林高远正常发挥，二线选手里向鹏最出色，战胜强敌莫雷加德，首次打进WTT大满贯赛四强！,,中立
5086572707320851,OAk9ouIuf,1730915462,宛宛的花园,巴黎奥运混双冠军的单飞实力：一个继续世界夺冠，一个继续32强。,"孙颖莎WTT女单夺冠,王楚钦止步中国大满贯32强",中立
5086555502544519,OAjHEaFWD,2960600157,小娱圈圈,王楚钦1比3林德，赛后对手表示：王楚钦未发挥最佳水平。王楚钦1比3林德王楚钦止步中国大满贯32强林德说王楚钦未发挥最佳水平王楚钦,,中立
