id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5054947209251138,On3qwCODU,2685256391,成都高性能纤维材料产业功能区,横着刷、刷牙太用力、刷牙时间过短等等，都会给牙齿造成伤害。尤其是拉锯式的横向刷牙，有人因此把牙刷出个缺口。到底怎么刷才叫有效刷牙？,睡前不刷牙将是对牙齿的恐怖待遇,"
中立"
5054669238305181,OmWcbyQyx,7460846976,百年德仁口腔,补牙选什么材料好？纳米树脂和玻璃离子是目前较常见的补牙材料，与牙齿颜色接近，较美观，与牙体组织具有粘结性，在咬合上也能满足我们日常的咀嚼需求。一般来说，成人中轻度蛀牙选择纳米树脂补牙即可。其填料的颗粒度达到纳米级，具有半透明性，更耐磨，不易脱落，价格在上百元左右，性价比高。如龋坏面积较大或涉及牙髓组织，则需要考虑瓷嵌体修复或根管治疗，一般要上千元，修复过程也相对比较繁琐，需要多次就诊。补牙具体选什么材料主要取决于蛀牙位置、部位、面积、深度的情况，可根据医生建议和预算可接受范围，选择合适的补牙材料。口腔健康超话身体健康超话补牙超话,"百年德仁口腔,城市巡游记,春日cityhappy计划,早睡真能解决生活中大部分的问题,牙白对颜值影响有多大,镜头下的笑容,健康,淡黄色是牙医公认的健康色号,为啥天天刷牙还有口臭,睡前不刷牙会发生什么,睡前不刷牙将是对牙齿的恐怖待遇,原来早睡真的能解决生活中大部分问题",中立
5054556996371072,OmTh9qJpe,7460846976,百年德仁口腔,新手父母，如何预防孩子出现“双排牙”？定期口腔检查及时发现口内隐藏的牙齿问题，针对性治疗解决；科学饮食，保持口腔卫生控制孩子日常吃甜食量、饮料量，坚持早晚刷牙，尤其吃完东西后及时漱口或刷牙，保持口腔卫生清洁；养成良好的口腔习惯对于孩子有咬手指、吐舌头、咬嘴唇等不良习惯，及时纠正。遇到孩子牙齿问题，新手爸妈不要慌张，及时地带孩子进行检查，切忌盲目自行诊断或拖延时间。口腔健康超话身体健康超话,"百年德仁口腔,双排牙,城市巡游记,春日cityhappy计划,早睡真能解决生活中大部分的问题,牙白对颜值影响有多大,镜头下的笑容,健康,淡黄色是牙医公认的健康色号,为啥天天刷牙还有口臭,睡前不刷牙会发生什么,睡前不刷牙将是对牙齿的恐怖待遇,原来早睡真的能解决生活中大部分问题",支持
5053959058227809,OmDIJywqB,7460846976,百年德仁口腔,为什么牙齿矫正后会“复发”？主要是因为以下几点原因：摘牙套后没有遵医嘱佩戴保持器●牙齿移动后，牙龈与牙周纤维还没有建立新的平衡●牙齿的位置不稳定，牙槽骨的改建也没有完全完成●咬合平衡没有完全建立，矫正后牙齿的接触关系还未完善●口颌系统神经肌肉动力平衡的改建未完成●没有保持器的帮助，容易出现复发情况口腔不良习惯依旧存在由于口腔不良习惯引发了牙齿畸形，通过牙齿矫正让牙齿功能和外观恢复正常，但是如果口腔不良习惯没有改善，长此往复也会再次发生牙齿畸形。生长发育期，牙颌面仍有生长空间部分人矫正结束后仍处在生长发育期，受生长型影响，易出现复发的苗头。因此，矫正结束后需要养成良好的习惯、坚持佩戴保持器、定期复诊，预防“复发”。口腔健康超话身体健康超话牙齿矫正超话暑期牙齿矫正超话,"百年德仁口腔,牙齿矫正会不会复发,城市巡游记,春日cityhappy计划,早睡真能解决生活中大部分的问题,牙白对颜值影响有多大,镜头下的笑容,健康,淡黄色是牙医公认的健康色号,为啥天天刷牙还有口臭,睡前不刷牙会发生什么,睡前不刷牙将是对牙齿的恐怖待遇,原来早睡真的能解决生活中大部分问题",中立
5053631030362982,OmvbF1wqy,7459735933,无限流光环,不想蛀牙补牙睡前刷牙很有必要一天至少刷两次牙，一次早起一次睡前，三餐饭后可以简单用水漱口。,睡前不刷牙将是对牙齿的恐怖待遇,支持
5053470840721656,Omr1i31JC,1833031745,陕西师范大学,话题登上热搜，来聊一下你一般每天刷几次牙？陕西师范大学超话你一天刷几次牙？,"欢乐师苑,睡前不刷牙将是对牙齿的恐怖待遇","
中立"
5053446002050194,Omqne8BlE,2369438665,北大口腔正畸刘松林博士,不刷牙的夜晚，你的口内可能会发生什么呢？1.口腔细菌繁殖：睡前不刷牙会让口腔中的细菌和食物残渣在口腔内滋生繁殖，增加口腔细菌数量，导致口腔异味和口腔健康问题。2.牙菌斑形成：不刷牙会导致口腔细菌滋生，易形成牙菌斑，这是一种细菌和食物残渣形成的粘膜，会附着在牙齿表面，导致牙齿表面发黄、龋齿等问题。3.牙龈问题：口腔细菌繁殖会刺激牙龈，引发牙龈发炎、出血等问题，长期下去可能导致牙龈疾病如牙龈炎、牙周炎等。4.龋齿发生：口腔细菌和食物残渣在牙齿表面滋生，产生酸性物质侵蚀牙釉质，长时间下去容易导致龋齿的发生。这样看来，每天定时刷牙真的是性价比最高的好习惯了,"睡前不刷牙将是对牙齿的恐怖待遇,刷牙漱口两步走,口腔健康,牙齿开心,牙齿口腔健康科普,口腔健康科普,口腔健康,从刷牙开始,牙齿矫正,北京正畸,健闻登顶计划",支持
5053440640157922,OmqeA0F58,2673596701,南昌地铁,睡前不刷牙会有什么样的后果😨😨😨,睡前不刷牙将是对牙齿的恐怖待遇,"
强烈反对"
5061505411979445,OpO2h8iWx,6517617600,深圳诺德齿科,当前口腔卫生知识比以前普及多了，许多人都知晓早晚刷牙。但由于习惯，晨起洗脸刷牙容易被接受，但有许多人对晚上刷牙的重要性认识不足而不采用。→_→如果睡前不刷牙，食物残渣就会较长时间停留在牙缝间，细菌以此为养料，大量生长繁殖。如果我们在睡前把牙齿刷干净，尽量把食物残渣和沉积的软垢去除，从而大大减少细菌的滋长，这对预防龋齿，牙周病的发生，保护牙齿及牙周组织起到很大作用。因此，从口腔保健的角度看，晚上睡前刷牙比早起时刷牙更重要。当然，我们主张最好能做到早晚各刷一次，饭后漱口，晚上睡前刷牙更为重要。,睡前不刷牙将是对牙齿的恐怖待遇,支持
5053244352496223,Oml7ZatnF,2590508324,北京大兴,睡前不shua牙都会发生什么呢……一条视频告诉你,睡前不刷牙将是对牙齿的恐怖待遇,"
中立"
