id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5020810000000000.0,O8Jr3fVTY,7754534077,舐桖怔,如果觉得自己过的太好非要给自己添堵的话也不是非要找这种方式的…,租房吃过最大的苦是跟情侣合租,"
反对"
5020810000000000.0,O8JqTefvx,7495262852,·3166·,在英国宁愿住一周几百镑的studio也不和别人合租我闺蜜和外国人合租天天找物业投诉,租房吃过最大的苦是跟情侣合租,"
反对"
5020810000000000.0,O8JqOjsxi,3014461155,买手天团,大家有和异性合租过吗？,租房吃过最大的苦是跟情侣合租,中立
5020810000000000.0,O8JqCeN1q,2095973737,平安古蔺,什么是LPR？LPR和固定利率，选哪个月供会减少？每月还款额会减少呢？一图看懂！,"个人房贷规模大幅缩水,早安,租房吃过最大的苦是跟情侣合租",中立
5020810000000000.0,O8JncDbrE,5506132978,惠州消防官微,近年来，出租房因为管理不规范，安全意识薄弱，造成了不少惨剧。出租房应注意哪些消防安全事项？戳图自查↓↓,租房吃过最大的苦是跟情侣合租,中立
5020810000000000.0,O8JmPjN55,5199459268,橘子奶咖球-,想起之前在上海和情侣合租，俩人大半夜不睡觉又哭又闹的吵架，男的还叫了个哥们来场外援助，好一出大戏。。。。,租房吃过最大的苦是跟情侣合租,"
强烈反对"
5020810000000000.0,O8JmOsKbN,3834088823,滁州文化旅游,白塔河是天长市主要河流之一、也是天长境内与高邮湖通航的主干线。白塔河风光带上的界牌“鹭鸟栖息地”，环境优雅独特，景象壮美，堪称自然奇观。走进白塔河，“新河白塔”耸立在白塔河南岸，白塔雏形跃然眼前，护坡、绿道、长廊、护桥、亭台、白塔，一切都是那么安详又富有生机。白塔河田园观光游憩带将突出白塔河沿线特有的田园风光，成为天长市旅游发展的一条重要旅游观光带，一条文化、生态、景观、休闲的旅游走廊。,"春游江淮请来滁州,醉美滁州,租房吃过最大的苦是跟情侣合租",中立
5020810000000000.0,O8JmGqK1R,2683160253,金钱教信徒,处对象的时候合租都可以，结婚的时候要求老公必须有房有车，房子不能低于120平，车不能低于15万。然后男的收入不能低于30万，要20万彩礼。然后还不是处女……然后女权还喜欢说20万彩礼，只是买女性生育过程？那我可不可以理解，就是不跟你结婚，就不需要花这么多钱还能得到你，只是不能生孩子而已？,租房吃过最大的苦是跟情侣合租,"
强烈反对"
5020800000000000.0,O8IZ7x2gp,6128919326,清汤不袭人,这个词条让人泪下，合租公寓就能遇到这样，不计较没有多摊水电，而是每天吵的鸡飞狗跳，住几个月果断搬走了，耗不起，身心俱疲,租房吃过最大的苦是跟情侣合租,"
强烈反对"
5020800000000000.0,O8IZ1Cpq0,6329805636,宅兔日记,都情侣了还要合租没钱还谈恋爱呢,租房吃过最大的苦是跟情侣合租,"
反对"
