id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5075533396707141,OvGY3s8PH,5871933162,果小乔儿,其实，男医生也在表演，而且尺度更大，地上纸一大堆，女医生只是巴拉巴拉的说一下都不行，看来这个网红医生，也分男女的，都在说女医生擦边软色情，但其实男医生也有啊。没人比我们更了解了，男女医生一样的文案，但是女医生会被钉在耻辱柱上，男医生就没事，到底是谁的宽容度不够，谁在只关注女医生，男医生就没事的？,网红医生擦边软色情,中立
5074463575773453,Ovf8xodWd,1009515492,闫大夫聊肝病,大三阳vs小三阳，那个🐏🐏🐏更🐮🐮🐮🐮呢？快来看看我的小电影擦没擦到边边吧慢性肝炎超话,网红医生擦边软色情,"
支持"
5074448241133692,OveJO4KVm,1046814450,赵继成,网红医生擦边软色情，视频全是足控、少妇，补肾胶囊销量惊人@新浪新闻O网红医生擦边软色情，视频全是足控、少妇，补肾胶囊销量惊人,,强烈反对
5074274392479963,Ovadpap9p,2002341525,球场见626,打着医生的幌子开直播害人，既然穿着这身白衣就不要抹黑这个职业，好歹对这身衣服有点敬畏之心。网红医生擦边软色情行为损害医生职业尊严和行业声誉，亵渎了医生的职业尊严，破坏了医疗行业的公信力，危害公共形象，应予以整治。网络必须严控，加大执法力度！,花洛莉亚 擦边,强烈反对
5074206748576149,Ov8sizZ2Z,6812149445,岳阳政法,近年来，互联网医疗科普走红，越来越多的医生走进镜头传播知识，帮助公众提升对身体健康的科学认识。不过，随着MCN机构进场，一些博取流量的科普乱象出现，编造剧情、直播带货、认证不符、导流暗广、跨专业科普、擦边软色情……除了热衷“全能科普”外，短视频平台上还存在着大量“网红医生”，为了流量抓住两性话题大做文章。一些妇产科、口腔科、儿科、外科医生，在科普视频中热衷于讲解男科知识、两性知识，发布了大量“同房”“夫妻生活”“性知识”等私密话题内容，流量颇高。有些医生在出镜讲解时，不光身穿白大褂进行常规科普，还时常穿着吊带裙、露腰装、紧身衣来一段剧情演绎，时而扮演“女友”害羞咨询，时而扮演“少女”懵懂提问，提问的问题一个比一个露骨。8月27日下午，新黄河记者将上述提及的多个账号的疑似违规情况反映给快手和抖音两大短视频平台。30日，不少账号的相关违规内容已经得到清理。@新黄河全文：O认证不符、跨科“擦边”……网红医生“伪科普”背后的“流量生意”,"网红医生伪科普背后的流量生意,网红医生擦边软色情","
反对"
5074198123513794,Ov8eoeK66,6215984085,医生有你栏目,拒绝擦边软色情，守护医疗净土最近，“网红医生擦边软色情”事件引发了广泛关注。😲医生，本应是救死扶伤的神圣职业，代表着专业、严谨和责任。然而，当个别医生为了追逐流量，选择以擦边软色情的方式来博眼球时，这无疑是对整个医疗行业的亵渎。💔我们需要的是真正用医术和仁心为患者服务的医生，而不是靠低俗手段来获取关注的“网红”。🙅‍♂️🙅‍♀️医疗行业应该是一片纯净的土地，不容许任何不良行为的污染。让我们共同抵制这种擦边软色情的行为，为医疗行业的健康发展贡献自己的一份力量。💪拒绝低俗#守护职业尊严,医疗行业规范 ,"
强烈反对"
5074175760794971,Ov7Ek3kO7,1148996325,椰椰酥鱼饼,恶心现在的医生都这样了？,网红医生擦边软色情,强烈反对
5074163495343666,Ov7kxmq8a,1150092462,笨笨丽香2015,学会分辨，网络内容不能全信,网红医生擦边软色情,中立
5080388966026529,OxJhCphM5,5744238002,海曙检察,《法治日报》记者近日检索发现，网上有大量传授如何打造“网红医生”的帖子：“医学科普模板，直接套用拿走不谢”“帮你还原一个真实的急救场景，绝对抓眼球”“做医生IP涨粉最简单的方法”……　　随着医疗健康科普日渐风靡，不少医生热衷于通过短视频或直播形式，在网络平台上进行科普、讲解健康知识。但记者调查发现，有些“网红医生”为博取流量，不惜编造剧情、擦边软色情，然后带货卖课、开展不当营销，让医疗健康科普变了味。一些“网红医生”为何热衷于两性话题？O一些“网红医生”为何热衷于两性话题？,"一些网红医生热衷于两性话题,不少网红医生直播间里没医生","
反对"
5074112273449116,Ov5ZVetgU,7756643573,临邑融媒,近年来，互联网医疗科普走红，越来越多的医生走进镜头传播知识，帮助公众提升对身体健康的科学认识。不过，随着MCN机构进场，一些博取流量的科普乱象出现，编造剧情、直播带货、认证不符、导流暗广、跨专业科普、擦边软色情……除了热衷“全能科普”外，短视频平台上还存在着大量“网红医生”，为了流量抓住两性话题大做文章。一些妇产科、口腔科、儿科、外科医生，在科普视频中热衷于讲解男科知识、两性知识，发布了大量“同房”“夫妻生活”“性知识”等私密话题内容，流量颇高。有些医生在出镜讲解时，不光身穿白大褂进行常规科普，还时常穿着吊带裙、露腰装、紧身衣来一段剧情演绎，时而扮演“女友”害羞咨询，时而扮演“少女”懵懂提问，提问的问题一个比一个露骨。8月27日下午，新黄河记者将上述提及的多个账号的疑似违规情况反映给快手和抖音两大短视频平台。30日，不少账号的相关违规内容已经得到清理。@新黄河全文：认证不符、跨科“擦边”……网红医生“伪科普”背后的“流量生意”,"网红医生伪科普背后的流量生意,网红医生擦边软色情","
反对"
5074094662354905,Ov5xw9SCl,7523037502,彦琐,我之前在国内某top前四的集团做运营，做账号目的是引流转化，我们当时是拍搞笑段子和科普。总是敏感词，一天都在规避这个不能说那个不能提，而且门槛确实低，认证了企业蓝V，让演员直接套着白大褂出境做口播科普，但是我们好在是植发知识，不涉及到就医问题。,网红医生擦边软色情,中立
5073982644027743,Ov2CQgTNB,7825856681,寻花大赏,打着女医生的名号搞擦边，封的好,"网红医生擦边软色情,一起来投票",强烈支持
5073962616488182,Ov26xrdS6,6220414037,高科技的小魔术师,👀最近，关于某些网红医生疑似涉足软色情边缘的话题持续发酵！这种情况怎么破？我们需要一个清朗的网络环境💪。大家怎么看？是时候讨论一下如何规范直播行为了吧！🚫Pornography🚫让我们一起呼吁，创建健康向上的直播文化，让医疗科普回归正轨📚。,平台应如何管理网红医生擦边软色情,"
反对"
5073962350675258,Ov2672PFg,6241877455,孩子王时代,👀震惊全网！某知名女医生竟然在直播间玩起擦边球，尺度大到让人咋舌！这种情况怎么破？我们需要双管齐下💪。一方面加强行业监管，另一方面提升个人职业道德底线🚫。医疗界的清流不该被这样污染啊💧...大家怎么看这事呢？下方留言区等你们的声音👂!,平台应如何管理网红医生擦边软色情,"
反对"
5073933699126542,Ov1lTCiei,2708446003,詹瑞玺大烧饼,正儿八经科普可难咯，大部分时候都太枯燥，谁愿意忙了一天还来看你上课哦。总得是有些话题性的、猎奇的、流量大的、迎合一些人数众多的群体的，才有人看。说到底还是利益，要想平台推你，要么你想想办法让你的东西天生有人看有人回，能为平台带来流量。要么你给平台塞钱，那平台也可以把你硬塞给用户看。劣币驱逐良币,网红医生擦边软色情,中立
5073932484611395,Ov1jWjlDl,7639369815,橘皖祎祎Ji_nyi,🧣作为社交媒体平台，具有许多好处和特点：1.即时性沟通：🧣提供ss的信息传递平台，用户可以迅速分享、获取最新动态，实现即时沟通。2.广泛连接：用户可以关🐖感兴趣的人物、机构或话题，扩大社交圈，获取更多信息，促进交流。3.内容分享：用户可以发布文字、图片、sp等多媒体形式的内容，分享自己的生活、见解、经验，与关注者建立更紧密的联系。4.热门话题：🧣平台经常推出热门话题，用户可以参与讨论，了解社会热点，形成更广泛的舆论交流。5.个性展示：通过🧣，用户可以展示自己的个性、兴趣爱好，吸引有相似兴趣的芬丝。6.宣传推广：企业和个人可以利用🧣进行产品宣传和个人品牌推广，通过发布有吸引力的内容吸引更多目标受众。7.shi时反馈：用户可以通过平伦、🧱发等方式对他人的内容进行shi时反馈，形成更加立体的社交交流。8.娱乐性：🧣上有大量有趣、轻松、娱乐的内容，为用户提供消遣和放松的平台。总体而言，🧣的好处在于它为用户提供了一个全方位、即时、广泛的社交和信息传递平台，使得用户能够更轻松地获取、分享信息，构建更加紧密的社交网络。,网红医生擦边软色情,中立
5073583317977220,OuSeLxteQ,1733049557,超级火星赛亚人,这种主播挺无耻的，建议这类人该剔除出医疗队伍……,网红医生擦边软色情,强烈反对
5073583108525711,OuSeqzLVt,7829777128,你行你也叫小拌,拒绝擦边拒绝不良消息严查彻底,网红医生擦边软色情,"
强烈反对"
5073582729989289,OuSdOFUFz,5252901462,小哥测评,网红医生这两个词语连在一起。？,网红医生擦边软色情,"
反对"
5073582545706326,OuSdwnWtw,3585793804,叙州之窗,近年来，在直播短视频等平台上靠衣着暴露、行为挑逗吸引眼球的擦边行为层出不穷。“软色情”屡禁不止，主播和平台该担何责？如何彻底杜绝“软色情”直播行为？戳视频看专业解读↓via@法治日报@深圳消防@昆明五华发布@蓬安公安传播法治人人学法,"网红医生擦边软色情,道路千万条守法第一条","
反对"
5080265250046071,OxG450bZ5,2000082335,狼狼狼狼狼狼狼七匹狼,"健康冷知识：一些""网红医生""为何热衷两性话题?有些""网红医生""为博取流量，不惜编造剧情、擦边软色情，然后带货卖课、开展不当营销，让医疗健康科普变了味。什么流量高说什么，发布大量""同房""""夫妻生活""""性知识""等等私密话题内容，赚取流量。卫健、市监部门应联合网络平台加强对""网红医生""的监管。",,强烈支持
