id,bid,user_id,用户昵称,微博正文,话题,立场倾向
5059690082078898,Op2Ok8IOC,7577818968,阿白-读书,难怪有那么多明星悼念郑佩佩！作为一个演员，作为一个平凡人，郑佩佩真的很伟大！2019年，郑佩佩被诊断患罕见病，神经退行性非典型帕金森综合征——非正式名称皮质基底节变性。据了解，这种病的症状与帕金森病相似，但以目前的治疗方法，根本无法减缓患者病情的发展。自己患病没办法医治，去世后，她选择捐赠自己的大脑，用于医学研究。只能说，她真的好伟大。未来罕见病攻克的路上，有郑佩佩老师的一份贡献。感谢佩佩老师对医学研究的奉献，一路走好-END-网图侵删信源：新浪娱乐,,支持
5059019232253326,OoLmj9sbY,3988146479,娱乐事儿君,郑佩佩患罕见病离世，选择捐赠大脑用于医学研究，曾在采访中提到希望死后能为社会做贡献,,"
中立"
5058955718168022,OoJHRygSi,7746742306,霖的屹次方,真的是一位非常优秀的老师一路走好,"郑佩佩儿子发文,郑佩佩患罕见病",中立
5058654334618886,OoBRLjnAa,6382603258,我喜欢橙嘟嘟呀,看到郑佩佩离世了，让我震惊的是她得的是CBD，是帕金森综合症里面的一种，属于世界罕见疾病，如此熟悉的又相似的病，和我父亲的MSA都属于神经性退化疾病，帕金森综合症一种，根据我这几年查看的文献，看了很多相关报道～这类病无解且罕见，医学没有办法解释！类似于基因突变……也呼吁国家应该多在世界罕见疾病上花时间以及精力，尤其现在越来越多的人中招，连中招的原因都没办法找到……人生就是一张体验卡，不要害怕死亡，同样也需要抓住生的希望……生命无解，今天吃到一个好吃的美食、获得了某项奖励、拥有了爱的能力、都值得我们去体验……在很长时间里我也曾迷茫生命的意义、人生的答案，“生老病死”……得出的答案勇敢的人是有勇气去直面未知的世界……人生不过3万多天、与其内耗抱怨生活、不如选择做自己喜欢的事……因为真的没有人会在意你是否真正的快乐……除了父母……,"郑佩佩捐赠大脑用于医学研究,郑佩佩患罕见病",中立
5058223342098389,OoqEC8NSZ,3034128127,奶淇布丁,郑佩佩患罕见病，捐赠大脑用于医学研究，之前不太了解她，但是她在演艺圈从来没有什么负面报道，情感方面也是干干净净，就一段婚姻，独自抚养四个孩子，演技也很好，就能看出她人品不会差。上午看到一个视频，是她生前说起将来捐赠遗体的事。说到虽然老了，器官不能用了，但眼角膜还可以用，遗体还可以用，呼吁大家一定要有这种爱心。她说：“只有让爱活下去，所有人才能够得到更多的重生。”当时就被她这些话感动到了。她有四个子女，要捐赠遗体这种事，儿女可能还会觉得不忍，还会有顾虑。但她生前显然不是说说而已，不是喊口号，而是真的捐赠了大脑，因为她得的是神经退行性非典型帕金森综合征，非正式名称叫“皮质基底节变性”。这种罕见病的症状跟帕金森病相似，但目前还没有好的治疗方法，所以她这一举动，是真的为医学研究做了贡献，为后来人着想的一种大爱。前不久，刘涛提到郑佩佩身体不好，还说她为自己写了一句：“岂能尽如人意，但求不愧我心，与涛儿共勉。”可见也是一个通透温暖又充满慈悲的老人，被她感动自然而然的事了。,,支持
5058121489713061,Ooo0kEKOh,1451813704,健康苏州,2019年演员郑佩佩被诊断患为“皮质基底节变性”，这是一种由有毒的“tau蛋白”在大脑中异常聚集，导致的罕见的神经系统退行性疾病。tau蛋白病被认为与阿尔茨海默病等20多种脑部疾病相关。目前国际上针对tau蛋白的实验性药物还在研发中，治疗方向主要是降低患者大脑中有毒tau蛋白水平。,"郑佩佩患病的罪魁祸首竟是这种蛋白,郑佩佩捐赠大脑用于医学研究,郑佩佩患罕见病",中立
5065205400733475,Ormi034Of,7358608580,爱娱大师,·郑佩佩患罕见病·郑佩佩捐赠大脑用于医学研究·据Variety，郑佩佩17日在旧金山去世，2019年她被诊断患有神经退行性非典型帕金森综合征——非正式名称为皮质基底节变性。这是一种罕见病，症状与帕金森病相似，但目前治疗方法无法减缓病情发展。郑佩佩选择捐赠大脑，用于医学研究。·郑佩佩去世·,,中立
5058111616321848,OonKpqwBi,2563856605,李小夏de精彩,郑佩佩的一生，从侠女开始，从侠女结束！18岁就成了享誉亚洲的当红女星，在事业上升期为爱远嫁美国，丈夫出轨心灰意冷后，带着孩子净身出户，回到香港继续拼搏。得知自己病重，更是坦然的接受，还决定捐献自己的器官帮助更多人的人！,"郑佩佩最爱佘太君,郑佩佩患罕见病",中立
5058103630103926,Oonxx0r2e,2513587863,吃着葡萄不说酸,之前看了花儿与少年一期她也参加了对她印象很深刻人真很好也看了她很多影视作品对于她去世的消息感到太惋惜了rip,郑佩佩患罕见病,中立
5058090279895906,OonbZFwno,5936992754,徐嘉博士,怎样的饮食模式能预防帕金森氏症？抗氧化剂、维生素D、B12、B6、植化素等，如何影响帕金森氏症？祝福武侠影后一路走好@微博健康,"郑佩佩患罕见病,郑佩佩捐赠大脑用于医学研究,郑佩佩女儿发文",中立
5058067811795123,OomBL7wZB,7734260092,罕见病新药进展,与病魔斗争长达五年，郑佩佩患的罕见病“CBD”到底是个啥病？郑佩佩于2019年被诊断患有神经退行性非典型帕金森综合征，这是一种罕见且严重的神经退行性疾病，也叫做“皮质基底节变性”，症状与帕金森病相似，一般发病年龄为60-80岁，平均年龄63岁，起病隐匿，并且目前的治疗方法无法缓解病情。CBD的症状表现包括运动不能、肌强直、肌张力障碍、局灶性肌阵挛、观念运动性失用症和异己肢现象的多种组合，还有认知或行为异常。也就是说，在患上这种疾病后，在运动方面，患者可能会出现肢体的强直，姿势不稳、跌倒，眼睑痉挛、肌肉痉挛等。,,中立
5057996604843232,OokKUkjWE,1747728084,北京城市广播FM1073,据Variety，郑佩佩17日在旧金山去世，2019年她被诊断患有神经退行性非典型帕金森综合征——非正式名称为皮质基底节变性。这是一种罕见病，症状与帕金森病相似，但目前治疗方法无法减缓病情发展。郑佩佩选择捐赠大脑，用于医学研究。,"郑佩佩患罕见病,郑佩佩捐赠大脑用于医学研究,郑佩佩去世",中立
5057983258560320,OokpnzUVG,3178141741,春天的阳光2016,善意提醒所有投资人：投资圈的詹晓康是个大骗子！他和他同伙精心设局诱骗投资人，坑了我们投资人巨额资金，把我们投资人骗得倾家荡产，负债累累！这个老骗子现在死不认帐！这个不知廉耻的老骗子还常年假冒清华大学新能源投资中心主任、清华大学教授、研究院院长……，到处坑蒙拐骗，为了骗钱不折手段！请大家一定一定要小心这个长期混在清华圈和投资圈的大骗子！！！这个道德伦丧、毫无人性的老骗子骗光了我们年迈的父母一辈子的养老钱，让我们全家痛不欲生！骗子詹晓康的无耻骗术将在合适的时间公开曝光，真心希望不要再出现无辜的受害者了！！！,郑佩佩患罕见病,"
中立"
5057982531901211,Ookod7YAH,6233373697,内娱趴趴狗,郑佩佩于今日离世，实属可惜。享年78岁，无论你多么能打多么能拼，在疾病面前拥有的只有接受。,郑佩佩患罕见病,中立
5057967038664956,OojZdAm9m,7335443304,言叶之庭25915,郑佩佩将大脑捐赠，用于医学研究！就冲这个大义之举向您致敬！从18岁到74岁见证您的芳华。希望以后这类罕见疾病能有药吃，像高血压药一样普遍。当所有人怼周星驰的时候，他站出来说，没有星爷，就没有她郑佩佩，多么仗义的人，冷知识：郑佩佩女士不是香港本地人，也不是广东人，她老家是上海的，一路走好！——文字转自微博郑佩佩患罕见病#致敬香港电影经典上热门,郑佩佩捐赠大脑用于医学研究 ,支持
5057953075825784,OojCHoryg,1767390911,Crystal_s,一位很像我姥姥的演员时常喜欢看她的电影希望她一路走好,郑佩佩患罕见病,中立
5057939515643354,OojgPnG5Q,2034347300,郑州晚报,①；②；③；④；⑤。O晚安郑州|金博大“变身”比亚迪中心或于近期开业,"晚安郑州,阮富仲去世,我国高分十一号05星发射成功,微软蓝屏,感谢微软 提前放假,郑佩佩去世,郑佩佩患罕见病,郑佩佩捐赠大脑用于医学研究,女子举报公婆名下有近亿资产,一家3口默契买走同一大爷17箱桃",中立
5057939498599607,OojgNA59l,7096189920,第1眼视频,据Variety，郑佩佩17日在旧金山去世，2019年她被诊断患有神经退行性非典型帕金森综合征——非正式名称为皮质基底节变性。这是一种罕见病，症状与帕金森病相似，但目前治疗方法无法减缓病情发展。郑佩佩选择捐赠大脑，用于医学研究。的微博视频,"郑佩佩患罕见病,郑佩佩捐赠大脑用于医学研究,郑佩佩去世",中立
5057939334762105,OojgxjYQ9,2138511690,羽衣之蓝,高考超话Day2米国时间17日离开了一位和蔼可亲的大姐姐，一生善良厚道，武术才能了得！中国大姐大！可是，她还是仍然离开了我们，我们感到无比沉痛！她离去前将自己的大脑捐赠给药疗机构用于研究她的大脑疼痛症状之根，伟大的姐姐哟！一路走好啊！,"郑佩佩患罕见病,郑佩佩捐赠大脑用于医学研究,郑佩佩去世","
强烈支持"
5057925104012920,OoiTAgPWw,7710021498,黄桷树下的KAI,一路走好，愿天堂没有疾病,郑佩佩患罕见病,中立
5057924903470107,OoiTgeyJt,7797342474,只是个辛苦的打工人,这是在旧金山生活，还是去治疗的？美国的医疗还是很发达的，居然也救不回来，看来这病还是很奇特一路走好🙏🙏真的好了不起老师真的很好,"郑佩佩患罕见病,郑佩佩捐赠大脑用于医学研究",中立
5057923891855917,OoiRD7MO9,7796686964,纯爱土豆辣妹战神,我的天我的天我的天🕯️🕯️🕯️,郑佩佩患罕见病,中立
5057909759412030,OoiuPDuuW,7786592567,沐宇喜宇啊,佩佩奶奶一路走好！愿你一切都好！,"郑佩佩患罕见病,郑佩佩捐赠大脑用于医学研究",中立
5057909485210197,OoiuolRpr,2138511690,羽衣之蓝,听到消息，反应了好久才接受这个事实，我不敢相信，也不愿相信。犹然在目，那天我接到一日导游的任务。佩妈一早拉着我的手，陪我为大家准备早餐。她手把手教我做英文攻略；在我最无助的夜晚，她紧紧搂着我，轻声说：“别怕，我在。”那一刻，她的怀抱给了我无尽的安慰。在接下来的日子里，佩妈成了我的阳光和大树。牵着她的手，我总是感到无比踏实。佩妈说我是个活在梦里的女孩，她愿意陪我一起在梦里。那是无尽的感激与温暖交织的幸福。好遗憾不能送您最后一程，好遗憾这些年没能再见您一面。佩妈，您的笑容、温暖和关怀，将永远铭刻在我心中，成为我面对生活的力量。即使您不在了，您的精神依然在我心中闪耀，成为我永远的阳光和大树。,"郑佩佩患罕见病,郑佩佩捐赠大脑用于医学研究,郑佩佩去世",中立
5057909272873964,Ooiu3c3Eg,1757858753,李拜甜是我,演员郑佩佩去世，！郑佩佩从18岁到75岁的电影旅程！年轻的她风华绝代，中年的她仪态万千，老年的她慈眉善目！在每个更替的年代都能留下了自己的电影形象和深刻印记！郑佩佩的一生都献给了热爱的电影事业！深切缅怀老戏骨郑佩佩女士！,郑佩佩患罕见病,中立
5057908657883181,Ooit3x4M5,7550478438,毒德科技,前段时间花少好友记里面，涛还提到了佩妈身体不好，以及和她写的“岂能尽如人意，但求不愧我心，与涛儿共勉”,郑佩佩患罕见病,中立
5057907693456236,Ooirvev7K,7585018065,五月逢猫,一路走好你一直在我们心中,郑佩佩患罕见病,中立
5057894712084730,Ooi6z8KkG,5991719505,娱乐小学妹阿,资深演员郑佩佩于17日在旧金山辞世，据Variety报导，她在2019年被确诊为患有一种罕见的神经退行性疾病，即非典型帕金森综合症，也被称作皮质基底节变性。尽管病症与帕金森病相仿，却无有效疗法阻止其进展。令人敬佩的是，郑佩佩决定捐献她的大脑，以促进医学研究。,"郑佩佩患罕见病,郑佩佩捐赠大脑,郑佩佩去世,演员","
支持"
5057894381521879,Ooi626nUr,2232193862,东御散人,神经退行性非典型帕金森综合征：皮质基底节变性；感觉她也没得罪什么厉害人物啊，这么被整？2019年站队周星驰惹的祸？,郑佩佩患罕见病,中立
5057894003509310,Ooi5qeIVM,7725863114,Farewell-许颖平安,佩姐真的好伟大，而且她选择不公布病情，在亲人的陪伴下离世，一路走好,郑佩佩患罕见病,中立
5057879310600471,OohHJ2wd1,1729080261,Beauty种草酱,据Variety郑佩佩17日在旧金山去世，2019年她被诊断患有神经退行性非典型帕金森综合征——非正式名称为皮质基底节变性。，症状与帕金森病相似，但目前治疗方法无法减缓病情发展。郑佩佩选择捐赠大脑，用于医学研究。你听说过罕见病吗？,"罕见病离你我有多远,仅有约1%的罕见病有有效治疗药物,郑佩佩患罕见病",中立
5057864792019535,Oohkj8tn9,2011075080,齐鲁晚报,7月17日，曾出演过《大醉侠》《卧虎藏龙》《唐伯虎点秋香》等电影的著名演员郑佩佩去世，享年78岁。据Variety报道，2019年，郑佩佩被诊断患有神经退行性非典型帕金森综合征——非正式名称为皮质基底节变性。这是一种罕见病，其症状与帕金森病相似，但目前的治疗方法无法缓解病情。郑佩佩选择将大脑捐赠给BrainSupportNetwork，用于医学研究。此外，她在身体还算硬朗的时候就填好了遗体捐赠卡，将大体捐赠给香港大学，把一生的影视成就全部捐给香港电影学院。via.@新闻晨报,"什么是皮质基底节变性,郑佩佩捐赠大脑用于医学研究,郑佩佩患罕见病",中立
5057864685062591,Oohk8lf0H,5824836561,萄盐你u,希望郑佩佩老师一路走好,郑佩佩患罕见病,中立
5057863443289091,Oohi8dNDR,7291491964,追星少女郑果果,周末的清晨被悲伤渲染了～喜欢郑佩佩除了她塑造的无数经典角色，更多的是来自于人格魅力！,郑佩佩患罕见病,中立
